ID,Gardiner,Subcorpus,Tokens,Docs,Source
all,!,all,1,1,aes
sawmedizin,!,sawmedizin,1,1,aes
j-r-w-all,$jꜣr.w$,all,1,1,aes
j-r-w-bbawpyramidentexte,$jꜣr.w$,bbawpyramidentexte,1,1,aes
nn-all,$nn$,all,1,1,aes
nn-bbawpyramidentexte,$nn$,bbawpyramidentexte,1,1,aes
s-t-all,$sḫ.t$,all,1,1,aes
s-t-bbawpyramidentexte,$sḫ.t$,bbawpyramidentexte,1,1,aes
linverted-s-all,+linverted+s,all,1,1,aes
linverted-s-sawlit,+linverted+s,sawlit,1,1,aes
lvar-s-all,+lvar+s,all,5,1,aes
lvar-s-sawlit,+lvar+s,sawlit,5,1,aes
all-2,.,all,120,53,aes
bbawhistbiospzt,.,bbawhistbiospzt,1,1,aes
sawlit,.,sawlit,108,45,aes
sawmedizin-2,.,sawmedizin,10,6,aes
tuebingerstelen,.,tuebingerstelen,1,1,aes
all-3,..,all,5,3,aes
bbawpyramidentexte,..,bbawpyramidentexte,3,1,aes
bbawtotenlit,..,bbawtotenlit,1,1,aes
sawlit-2,..,sawlit,1,1,aes
2-all,2,all,798,150,aes
2-bbawhistbiospzt,2,bbawhistbiospzt,1,1,aes
2-bbawpyramidentexte,2,bbawpyramidentexte,1,1,aes
2-sawlit,2,sawlit,287,86,aes
2-sawmedizin,2,sawmedizin,503,57,aes
2-tuebingerstelen,2,tuebingerstelen,6,5,aes
20-all,20,all,171,37,aes
20-sawlit,20,sawlit,13,11,aes
20-sawmedizin,20,sawmedizin,158,26,aes
200-all,200,all,5,4,aes
200-sawlit,200,sawlit,5,4,aes
3-all,3,all,505,117,aes
3-sawlit,3,sawlit,181,72,aes
3-sawmedizin,3,sawmedizin,324,45,aes
30-all,30,all,169,31,aes
30-sawlit,30,sawlit,6,6,aes
30-sawmedizin,30,sawmedizin,163,25,aes
300-all,300,all,4,4,aes
300-sawlit,300,sawlit,3,3,aes
300-sawmedizin,300,sawmedizin,1,1,aes
4-all,4,all,944,107,aes
4-sawlit,4,sawlit,88,48,aes
4-sawmedizin,4,sawmedizin,856,59,aes
40-all,40,all,3,3,aes
40-sawlit,40,sawlit,2,2,aes
40-sawmedizin,40,sawmedizin,1,1,aes
5-all,5,all,12,8,aes
5-sawlit,5,sawlit,12,8,aes
9-all,?9,all,2,1,aes
9-sawlit,?9,sawlit,2,1,aes
A1-all,A1,all,9710,572,aes
A1-bbawamarna,A1,bbawamarna,373,96,aes
A1-bbawgrabinschriften,A1,bbawgrabinschriften,94,70,aes
A1-bbawgraeberspzt,A1,bbawgraeberspzt,70,13,aes
A1-bbawhistbiospzt,A1,bbawhistbiospzt,267,11,aes
A1-bbawtempelbib,A1,bbawtempelbib,315,11,aes
A1-bbawtotenlit,A1,bbawtotenlit,1080,18,aes
A1-sawlit,A1,sawlit,6347,261,aes
A1-sawmedizin,A1,sawmedizin,1082,73,aes
A1-smaek,A1,smaek,42,3,aes
A1-tuebingerstelen,A1,tuebingerstelen,40,16,aes
A10-all,A10,all,14,11,aes
A10-bbawgrabinschriften,A10,bbawgrabinschriften,12,10,aes
A10-sawlit,A10,sawlit,2,1,aes
A100B-all,A100B,all,1,1,aes
A100B-bbawgrabinschriften,A100B,bbawgrabinschriften,1,1,aes
A101D-all,A101D,all,1,1,aes
A101D-sawlit,A101D,sawlit,1,1,aes
A109-all,A109,all,20,2,aes
A109-bbawhistbiospzt,A109,bbawhistbiospzt,20,2,aes
A11-all,A11,all,17,13,aes
A11-bbawamarna,A11,bbawamarna,1,1,aes
A11-bbawgrabinschriften,A11,bbawgrabinschriften,13,9,aes
A11-sawlit,A11,sawlit,3,3,aes
A110-all,A110,all,1,1,aes
A110-sawlit,A110,sawlit,1,1,aes
A115-all,A115,all,1,1,aes
A115-sawlit,A115,sawlit,1,1,aes
A116-all,A116,all,1,1,aes
A116-bbawgrabinschriften,A116,bbawgrabinschriften,1,1,aes
A119-all,A119,all,13,12,aes
A119-bbawgrabinschriften,A119,bbawgrabinschriften,13,12,aes
A119A-all,A119A,all,2,2,aes
A119A-bbawgrabinschriften,A119A,bbawgrabinschriften,2,2,aes
A12-all,A12,all,112,59,aes
A12-bbawamarna,A12,bbawamarna,6,5,aes
A12-bbawgrabinschriften,A12,bbawgrabinschriften,9,9,aes
A12-bbawhistbiospzt,A12,bbawhistbiospzt,14,3,aes
A12-sawlit,A12,sawlit,77,37,aes
A12-sawmedizin,A12,sawmedizin,2,1,aes
A12-smaek,A12,smaek,2,2,aes
A12-tuebingerstelen,A12,tuebingerstelen,2,2,aes
A121C-all,A121C,all,7,5,aes
A121C-bbawamarna,A121C,bbawamarna,1,1,aes
A121C-bbawtempelbib,A121C,bbawtempelbib,4,2,aes
A121C-sawlit,A121C,sawlit,1,1,aes
A121C-sawmedizin,A121C,sawmedizin,1,1,aes
A123-all,A123,all,1,1,aes
A123-bbawgrabinschriften,A123,bbawgrabinschriften,1,1,aes
A12A-all,A12A,all,35,2,aes
A12A-bbawgrabinschriften,A12A,bbawgrabinschriften,1,1,aes
A12A-bbawhistbiospzt,A12A,bbawhistbiospzt,34,1,aes
A12C-all,A12C,all,1,1,aes
A12C-bbawhistbiospzt,A12C,bbawhistbiospzt,1,1,aes
A12D-all,A12D,all,5,2,aes
A12D-sawlit,A12D,sawlit,5,2,aes
A12_-all,A12_,all,1,1,aes
A12_-sawlit,A12_,sawlit,1,1,aes
A13-all,A13,all,20,14,aes
A13-bbawhistbiospzt,A13,bbawhistbiospzt,2,1,aes
A13-bbawtotenlit,A13,bbawtotenlit,1,1,aes
A13-sawlit,A13,sawlit,16,11,aes
A13-sawmedizin,A13,sawmedizin,1,1,aes
A133A-all,A133A,all,7,7,aes
A133A-bbawgrabinschriften,A133A,bbawgrabinschriften,6,6,aes
A133A-sawlit,A133A,sawlit,1,1,aes
A135C-all,A135C,all,1,1,aes
A135C-smaek,A135C,smaek,1,1,aes
A136A-all,A136A,all,1,1,aes
A136A-bbawamarna,A136A,bbawamarna,1,1,aes
A137-all,A137,all,1,1,aes
A137-bbawhistbiospzt,A137,bbawhistbiospzt,1,1,aes
A13A-all,A13A,all,21,6,aes
A13A-bbawtempelbib,A13A,bbawtempelbib,2,1,aes
A13A-bbawtotenlit,A13A,bbawtotenlit,7,1,aes
A13A-sawlit,A13A,sawlit,5,2,aes
A13A-sawmedizin,A13A,sawmedizin,7,2,aes
A13B-all,A13B,all,3,2,aes
A13B-bbawtotenlit,A13B,bbawtotenlit,1,1,aes
