ID,Codepoint,Glyph,Gardiner,UniK,Core,Description,Functions,Values,JSesh,Hieroglyphica,IFAO,Source
U13000,U+13000,𓀀,A-01-001,A001,C,"Man, seated, right knee raised, right arm raised, left arm in front of body.",Classifier human being,,A1,A1,"1,1",unikemet
U13001,U+13001,𓀁,A-01-027,A002,C,"Man, seated, right knee raised, right arm raised with hand to mouth, left arm hanging beside the body.",Classifier eating/drinking/speech/ silence/thoughts/feelings,,A2,A2,"2,4",unikemet
U13002,U+13002,𓀂,A-01-005,A003,C,"Man, seated on heel, right knee raised, right arm raised, left arm in front of body.",Classifier sitting,ḥmsꞽ,A3,A3,,unikemet
U13003,U+13003,𓀃,A-01-040,A004,C,"Man, seated, right knee raised, back straight, both arms raised in front, hand palms outwards.",Classifier supplication/hiding/rejection,,A4,A4,"2,14",unikemet
U13004,U+13004,𓀄,A-11-002,A005,C,,,,A5,A5,,unikemet
U13005,U+13005,𓀅,A-11-003,A005A,C,"Man, seated, right knee raised, back straight, both arms raised in front, hand palms outwards, under a corner of a wall.",Logogram (to hide),ꞽmn,A5A,A5A,"15,3",unikemet
U13006,U+13006,𓀆,A-09-001,A006,C,"Man, seated, right knee raised, with a vase on its side, with liquid issuing from it (W54), orientated to the front, on his head, both arms raised towards the front, hand palms outwards.","Logogram (pure, clean)",wꜥb,A6,A6,"13,5",unikemet
U13007,U+13007,𓀇,A-09-011,A006A,C,"Man, seated, both knees down, with a vase on its side, with liquid issuing from it (W54), orientated to the front, on his head, with the water ending on a block, both arms forward, extended downwards toward the block.",Classifier to libate,sṯ,,,"14,1",unikemet
U13008,U+13008,𓀈,A-09-005,A006B,C,,,,US1A6BEXTU,,,unikemet
U13009,U+13009,𓀉,A-01-036,A007,C,"Man, seated on heel, right leg extended with foot in front of left leg, right and left arm sloping downwards to either side of the body.",Classifier sitting/weak/faint,,A7,A7,"2,9",unikemet
U1300A,U+1300A,𓀊,A-01-059,A008,C,"Man, seated, right knee raised, right arm angled in front of the body, left arm raised, hand held vertically, hand palm inwards (hnw gesture).",Classifier joy/veneration,,A8,,"3,7",unikemet
U1300B,U+1300B,𓀋,A-07-021,A009,C,"Man, seated, right knee raised, a vessel on his head, right arm raised in front, with the hand at the vessel, left arm hanging beside the body.","Classifier to lift, to carry",fꜣꞽ,A9,A9,"11,6",unikemet
U1300C,U+1300C,𓀌,A-12-042,A010,C,"Man, seated, right knee raised, right arm extended forward, holding the shaft of an oar, with the blade at the level of the feet, left arm hanging beside the body.",Classifier sailing/rowing,sḳdꞽ,A10,A10,,unikemet
U1300D,U+1300D,𓀍,A-07-041,A011,C,"Man, seated, right knee raised, right arm raised In front, holding a sceptre (S42), angled towards the head, left arm in front of the body, holding a stick, resting against the shoulder.",Phonemogram,ḫnms,A11,A11,,unikemet
U1300E,U+1300E,𓀎,A-17-003,A012,C,"Man, seated on heel, right knee up, with a feather (H6) on his head, angling backwards, right arm forwards, forearm horizontal, holding a composite bow (T10), left arm in front of the body, holding a stick which angles backwards, leaning against the left shoulder.",Logogram (army),mšꜥ,A12,A12,,unikemet
U1300F,U+1300F,𓀏,A-18-001,A013,C,"Man (enemy), seated on heel, both knees down, both arms behind the back, bound together with rope.",Classifier rebel/enemy ,,A13,A13,"24,5",unikemet
U13010,U+13010,𓀐,A-18-081,A014,C,"Man, curled up, right and left lower legs separated, back nearly horizontal, both arms forward, forearms horizontal, grasping a line of liquid (blood) which comes from the head.","Classifier rebel, opponent",rḳ,A14,A14,,unikemet
U13011,U+13011,𓀑,A-18-074,A014A,C,"Man, seated on heel, right knee raised, with a band of cloth around the middle, both arms forward, holding an axe with the axeblade in the forehead of the man.",Classifier death,mt,A14A,,"27,4",unikemet
U13012,U+13012,𓀒,A-05-004,A015,C,"Man, written horizontally, facing down, arms raised in front.",Logogram (to fall),ḫr,A15,A15,"7,11",unikemet
U13013,U+13013,𓀓,A-04-005,A016,C,"Man, standing, bent forwards, arms hanging downwards, extended towards the front.",Classifier bowing,,A16,A16,"6,10",unikemet
U13014,U+13014,𓀔,A-23-002,A017,C,"A child, seated on nothing, forelegs separated, right arm raised with hand to mouth, left arm hanging beside the body.",Classifier youth/child,,A17,A17,"34,1",unikemet
U13015,U+13015,𓀕,A-23-007,A017A,C,"Child, seated on nothing, forelegs spread, right arm forward, extended towards the knee, hand palm down, left arm hanging beside the body.",Classifier youth/child,,A17A,,,unikemet
U13016,U+13016,𓀖,A-23-030,A018,C,"Child, wearing the red crown (S3), seated on nothing, forelegs spread, right arm raised in front with hand to mouth, left arm hanging beside the body.",Classifier child (royal),,A18,A18,"35,7",unikemet
U13017,U+13017,𓀗,A-06-017,A019,C,"Old man, standing, with a bent back, right arm forwards, holding a staff/stick near the top, with the staff at a slight backward angle, left arm hanging beside the body.","Logogram (old, old age)",ꞽꜣw,A19,,"9,7",unikemet
U13018,U+13018,𓀘,A-06-009,A020,C,"Man, standing, with a slightly bent back, right arm in front holding a long staff or pole with a two-pronged end piece for holding down snakes (U116), left arm hanging beside the body.",Logogram (elder),smsw,A20,A20,"9,5",unikemet
U13019,U+13019,𓀙,A-06-005,A021,C,"Man, standing, wearing a short sash-kilt, right arm in front, holding a long stick/staff, left arm hanging beside the body, holding a piece of cloth.",,,A21,A21,"8,15",unikemet
U1301A,U+1301A,𓀚,A-06-037,A022,C,"Man, standing on a base (statue), right arm forward, holding a stick/staff, which rests on the same base, left arm hanging beside the body holding a sceptre (S42), sceptre-head extending in front of the body.",Classifier statue,,A22,A22,,unikemet
U1301B,U+1301B,𓀛,A-27-024,A023,C,"The king, standing, with a long straight beard and short wig/coif, with a uraeus bound to the forehead, right arm forward, hand at the height of the shoulder, holding a staff with a triangular piece (point down) at the height of the waist, left arm hanging beside the body, holding a mace (T3) horizontally.",Classifier sovereign,ꞽt.y,A23,A23,,unikemet
U1301C,U+1301C,𓀜,A-16-021,A024,C,"Man, standing, both arms towards the front, holding a branch, as if to strike with it.",Classifier force/effort,,A24,A24,"22,8",unikemet
U1301D,U+1301D,𓀝,A-16-039,A025,C,"Man, standing, back bent forward, right arm forward, holding a stick which slightly curves towards the body, left arm hanging beside the body.",Classifier force/effort,,A25,A25,,unikemet
U1301E,U+1301E,𓀞,A-02-020,A026,C,"Man, standing, right arm outstretched before him, with the left arm hanging beside the body.",Logogram (vocative interjection),ꞽ,A26,A26,"4,5",unikemet
U1301F,U+1301F,𓀟,A-02-041,A027,C,"Man, running, right arm raised in front, left arm in front of the body.",Phonemogram/classifier messenger,ꞽn,A27,A27,"5,7",unikemet
U13020,U+13020,𓀠,A-02-044,A028,C,"Man, standing, with arms raised at either side of the body, hand palms inwards.",Logogram (to be high),ḳꜣꞽ,A28,A28,"5,11",unikemet
U13021,U+13021,𓀡,A-03-001,A029,C,"Man, upside-down, both arms raised at either side of the body, hand palms inwards.",Classifier upside-down,sḫd,A29,A29,"6,2",unikemet
