ID,Filename,Work,URN_Prefix,Source
w-HHAphrodite-tlg0013-tlg005,HHAphrodite,tlg0013.tlg005,urn:cts:greekLit:tlg0013.tlg005.,hypotactic
w-HHApollo-tlg0013-tlg003,HHApollo,tlg0013.tlg003,urn:cts:greekLit:tlg0013.tlg003.,hypotactic
w-HHDemeter-tlg0013-tlg002,HHDemeter,tlg0013.tlg002,urn:cts:greekLit:tlg0013.tlg002.,hypotactic
w-HHermes-tlg0013-tlg004,HHermes,tlg0013.tlg004,urn:cts:greekLit:tlg0013.tlg004.,hypotactic
w-HHymns-tlg0013,HHymns,tlg0013,urn:cts:greekLit:tlg0013.,hypotactic
w-apollonius1-tlg0001-tlg001,apollonius1,tlg0001.tlg001,urn:cts:greekLit:tlg0001.tlg001.,hypotactic
w-apollonius2-tlg0001-tlg001,apollonius2,tlg0001.tlg001,urn:cts:greekLit:tlg0001.tlg001.,hypotactic
w-apollonius3-tlg0001-tlg001,apollonius3,tlg0001.tlg001,urn:cts:greekLit:tlg0001.tlg001.,hypotactic
w-apollonius4-tlg0001-tlg001,apollonius4,tlg0001.tlg001,urn:cts:greekLit:tlg0001.tlg001.,hypotactic
w-batmumach-tlg1220-tlg001,batmumach,tlg1220.tlg001,urn:cts:greekLit:tlg1220.tlg001.,hypotactic
w-bion-tlg0036,bion,tlg0036,urn:cts:greekLit:tlg0036.,hypotactic
w-callimachusEp-tlg0533-tlg003,callimachusEp,tlg0533.tlg003,urn:cts:greekLit:tlg0533.tlg003.,hypotactic
w-callimachusEp-tlg0533-tlg004,callimachusEp,tlg0533.tlg004,urn:cts:greekLit:tlg0533.tlg004.,hypotactic
w-callimachusHymns-tlg0533-tlg015,callimachusHymns,tlg0533.tlg015,urn:cts:greekLit:tlg0533.tlg015.,hypotactic
w-callimachusHymns-tlg0533-tlg016,callimachusHymns,tlg0533.tlg016,urn:cts:greekLit:tlg0533.tlg016.,hypotactic
w-callimachusHymns-tlg0533-tlg017,callimachusHymns,tlg0533.tlg017,urn:cts:greekLit:tlg0533.tlg017.,hypotactic
w-callimachusHymns-tlg0533-tlg018,callimachusHymns,tlg0533.tlg018,urn:cts:greekLit:tlg0533.tlg018.,hypotactic
w-callimachusHymns-tlg0533-tlg019,callimachusHymns,tlg0533.tlg019,urn:cts:greekLit:tlg0533.tlg019.,hypotactic
w-callimachusHymns-tlg0533-tlg020,callimachusHymns,tlg0533.tlg020,urn:cts:greekLit:tlg0533.tlg020.,hypotactic
w-iliad1-tlg0012-tlg001,iliad1,tlg0012.tlg001,urn:cts:greekLit:tlg0012.tlg001.,hypotactic
w-iliad10-tlg0012-tlg001,iliad10,tlg0012.tlg001,urn:cts:greekLit:tlg0012.tlg001.,hypotactic
w-iliad11-tlg0012-tlg001,iliad11,tlg0012.tlg001,urn:cts:greekLit:tlg0012.tlg001.,hypotactic
w-iliad12-tlg0012-tlg001,iliad12,tlg0012.tlg001,urn:cts:greekLit:tlg0012.tlg001.,hypotactic
w-iliad13-tlg0012-tlg001,iliad13,tlg0012.tlg001,urn:cts:greekLit:tlg0012.tlg001.,hypotactic
w-iliad14-tlg0012-tlg001,iliad14,tlg0012.tlg001,urn:cts:greekLit:tlg0012.tlg001.,hypotactic
w-iliad15-tlg0012-tlg001,iliad15,tlg0012.tlg001,urn:cts:greekLit:tlg0012.tlg001.,hypotactic
w-iliad16-tlg0012-tlg001,iliad16,tlg0012.tlg001,urn:cts:greekLit:tlg0012.tlg001.,hypotactic
w-iliad17-tlg0012-tlg001,iliad17,tlg0012.tlg001,urn:cts:greekLit:tlg0012.tlg001.,hypotactic
w-iliad18-tlg0012-tlg001,iliad18,tlg0012.tlg001,urn:cts:greekLit:tlg0012.tlg001.,hypotactic
w-iliad19-tlg0012-tlg001,iliad19,tlg0012.tlg001,urn:cts:greekLit:tlg0012.tlg001.,hypotactic
w-iliad2-tlg0012-tlg001,iliad2,tlg0012.tlg001,urn:cts:greekLit:tlg0012.tlg001.,hypotactic
w-iliad20-tlg0012-tlg001,iliad20,tlg0012.tlg001,urn:cts:greekLit:tlg0012.tlg001.,hypotactic
w-iliad21-tlg0012-tlg001,iliad21,tlg0012.tlg001,urn:cts:greekLit:tlg0012.tlg001.,hypotactic
w-iliad22-tlg0012-tlg001,iliad22,tlg0012.tlg001,urn:cts:greekLit:tlg0012.tlg001.,hypotactic
w-iliad23-tlg0012-tlg001,iliad23,tlg0012.tlg001,urn:cts:greekLit:tlg0012.tlg001.,hypotactic
w-iliad24-tlg0012-tlg001,iliad24,tlg0012.tlg001,urn:cts:greekLit:tlg0012.tlg001.,hypotactic
