ID,Description,Count,Resolution,Source
g-bdf07f3c110d,△／‥、252-11,1,other,aozora
g-ea7a78e6231c,△／‥、253-10,1,other,aozora
g-e75a7d4b1daa,△／‥、253-9,1,other,aozora
g-67b0150d31a1,△／‥、254-12,1,other,aozora
g-ef3a12d9169d,△／‥、254-5,1,other,aozora
g-f088cd1f6683,△／‥、255-3,1,other,aozora
g-8b54d1014230,△／‥、255-7,1,other,aozora
g-0021a7219665,△／‥、255-8,1,other,aozora
g-4a5c37924932,○／‥、257-14,1,other,aozora
g-08c2f63c5c02,○／‥、257-6,2,other,aozora
g-825c9dd1180e,○／‥、257-7,1,other,aozora
g-d89d56da9d87,○／六,1,other,aozora
g-466ccf8902a0,「けものへん＋僚のつくり、145-7,1,kana-component,aozora
g-04dae8037dcd,「さんずい＋（从／巫）、717-8,1,kana-component,aozora
g-7b89852f9ff2,「敖／馬,1,other,aozora
g-5d83ce588c76,「虫＋（くさかんむり／天／廾）、146-7,1,kana-component,aozora
g-deebef42681f,「虫＋（くさかんむり／天／廾）、149-14,1,kana-component,aozora
g-df50c948d734,うかんむり＋婁,1,kana-component,aozora
g-1c5cd86b34e1,うかんむり／婁,4,kana-component,aozora
g-a12b4e46faab,うかんむり／必／冉,2,kana-component,aozora
g-e10bf05ff877,えんにょう＋囘,8,kana-component,aozora
g-651e9491df6d,くさかんむり＋推,1,kana-component,aozora
g-5b0659fad69f,くさかんむり／「斂,1,kana-component,aozora
g-2031babd1b7c,くさかんむり／倩,4,kana-component,aozora
g-fab6fa794f2a,くさかんむり／兪,1,kana-component,aozora
g-a4d7a8dbc776,くさかんむり／冏,2,kana-component,aozora
g-9b4c62e8bd4b,くさかんむり／哽のつくり,2,kana-component,aozora
g-6f4f1514e4e7,くさかんむり／圍,1,kana-component,aozora
g-81211fff4cf8,くさかんむり／均,1,kana-component,aozora
g-2fceae170116,くさかんむり／大／巳,2,kana-component,aozora
g-9b462ccc5c4a,くさかんむり／奔,9,kana-component,aozora
g-6ea5d3232f95,くさかんむり／寇,1,kana-component,aozora
g-95e9cf3f5155,くさかんむり／悄のつくり,1,kana-component,aozora
g-b4836173952c,くさかんむり／捕,2,kana-component,aozora
g-360bc497d202,くさかんむり／支,1,kana-component,aozora
g-f1ed45f5fe76,くさかんむり／更,7,kana-component,aozora
g-ce863b7b1d65,くさかんむり／渠,1,kana-component,aozora
g-4816ccf197cf,くさかんむり／稾,8,kana-component,aozora
