ID,Old_Form,New_Form,Lane,Source
u4e58-u4e57,乘,乗,jinmeiyo,unihan
u4e98-u4e99,亘,亙,jinmeiyo,unihan
u4e9e-u4e9c,亞,亜,jinmeiyo,unihan
u4f5b-u4ecf,佛,仏,jinmeiyo,unihan
u4f86-u6765,來,来,jinmeiyo,unihan
u50b3-u4f1d,傳,伝,jinmeiyo,unihan
u50de-u507d,僞,偽,jinmeiyo,unihan
u50f9-u4fa1,價,価,jinmeiyo,unihan
u5109-u5039,儉,倹,jinmeiyo,unihan
u5152-u5150,兒,児,jinmeiyo,unihan
u51a8-u5bcc,冨,富,jinmeiyo,unihan
u51c9-u6dbc,凉,涼,jinmeiyo,unihan
u51dc-u51db,凜,凛,jinmeiyo,unihan
u5269-u5270,剩,剰,jinmeiyo,unihan
u528d-u5263,劍,剣,jinmeiyo,unihan
u52f3-u52f2,勳,勲,jinmeiyo,unihan
u5377-u5dfb,卷,巻,jinmeiyo,unihan
u537d-u5373,卽,即,jinmeiyo,unihan
u55ae-u5358,單,単,jinmeiyo,unihan
u56b4-u53b3,嚴,厳,jinmeiyo,unihan
u5708-u570f,圈,圏,jinmeiyo,unihan
u570b-u56fd,國,国,jinmeiyo,unihan
u5713-u5186,圓,円,jinmeiyo,unihan
u5718-u56e3,團,団,jinmeiyo,unihan
u57dc-u91ce,埜,野,jinmeiyo,unihan
u589e-u5897,增,増,jinmeiyo,unihan
u58d8-u5841,壘,塁,jinmeiyo,unihan
u58de-u58ca,壞,壊,jinmeiyo,unihan
u58ef-u58ee,壯,壮,jinmeiyo,unihan
u58fd-u5bff,壽,寿,jinmeiyo,unihan
u5967-u5965,奧,奥,jinmeiyo,unihan
u596c-u5968,奬,奨,jinmeiyo,unihan
u5b43-u5b22,孃,嬢,jinmeiyo,unihan
u5be2-u5bdd,寢,寝,jinmeiyo,unihan
u5be6-u5b9f,實,実,jinmeiyo,unihan
u5bec-u5bdb,寬,寛,jinmeiyo,unihan
u5c07-u5c06,將,将,jinmeiyo,unihan
u5c08-u5c02,專,専,jinmeiyo,unihan
u5c2d-u582f,尭,堯,jinmeiyo,unihan
u5cef-u5cf0,峯,峰,jinmeiyo,unihan
u5cfd-u5ce1,峽,峡,jinmeiyo,unihan
u5d8b-u5cf6,嶋,島,jinmeiyo,unihan
u5dcc-u5dd6,巌,巖,jinmeiyo,unihan
u5de2-u5de3,巢,巣,jinmeiyo,unihan
u5e36-u5e2f,帶,帯,jinmeiyo,unihan
u5ee3-u5e83,廣,広,jinmeiyo,unihan
u5ef3-u5e81,廳,庁,jinmeiyo,unihan
u5f48-u5f3e,彈,弾,jinmeiyo,unihan
u5f4c-u5f25,彌,弥,jinmeiyo,unihan
u5f9e-u5f93,從,従,jinmeiyo,unihan
u5fb5-u5fb4,徵,徴,jinmeiyo,unihan
u5fb7-u5fb3,德,徳,jinmeiyo,unihan
u6046-u6052,恆,恒,jinmeiyo,unihan
u60e0-u6075,惠,恵,jinmeiyo,unihan
u60e1-u60aa,惡,悪,jinmeiyo,unihan
u613c-u614e,愼,慎,jinmeiyo,unihan
u61c9-u5fdc,應,応,jinmeiyo,unihan
u61f7-u61d0,懷,懐,jinmeiyo,unihan
u6230-u6226,戰,戦,jinmeiyo,unihan
u6232-u622f,戲,戯,jinmeiyo,unihan
u62c2-u6255,拂,払,jinmeiyo,unihan
u62d4-u629c,拔,抜,jinmeiyo,unihan
u62dc-u62dd,拜,拝,jinmeiyo,unihan
u63ed-u63b2,揭,掲,jinmeiyo,unihan
u6416-u63fa,搖,揺,jinmeiyo,unihan
u641c-u635c,搜,捜,jinmeiyo,unihan
u64ca-u6483,擊,撃,jinmeiyo,unihan
u651d-u6442,攝,摂,jinmeiyo,unihan
u6536-u53ce,收,収,jinmeiyo,unihan
u654d-u53d9,敍,叙,jinmeiyo,unihan
u6643-u6644,晃,晄,jinmeiyo,unihan
u665a-u6669,晚,晩,jinmeiyo,unihan
u665d-u663c,晝,昼,jinmeiyo,unihan
u66c6-u66a6,曆,暦,jinmeiyo,unihan
u66c9-u6681,曉,暁,jinmeiyo,unihan
u66fe-u66fd,曾,曽,jinmeiyo,unihan
u6867-u6a9c,桧,檜,jinmeiyo,unihan
u689d-u6761,條,条,jinmeiyo,unihan
u69ae-u6804,榮,栄,jinmeiyo,unihan
u69d9-u69c7,槙,槇,jinmeiyo,unihan
u6a02-u697d,樂,楽,jinmeiyo,unihan
u6a23-u69d8,樣,様,jinmeiyo,unihan
u6a6b-u6a2a,橫,横,jinmeiyo,unihan
u6aa2-u691c,檢,検,jinmeiyo,unihan
u6afb-u685c,櫻,桜,jinmeiyo,unihan
u6b65-u6b69,步,歩,jinmeiyo,unihan
u6b77-u6b74,歷,歴,jinmeiyo,unihan
u6bcf-u6bce,每,毎,jinmeiyo,unihan
u6c23-u6c17,氣,気,jinmeiyo,unihan
u6d89-u6e09,涉,渉,jinmeiyo,unihan
u6dda-u6d99,淚,涙,jinmeiyo,unihan
u6de8-u6d44,淨,浄,jinmeiyo,unihan
u6e34-u6e07,渴,渇,jinmeiyo,unihan
u6eab-u6e29,溫,温,jinmeiyo,unihan
u6eef-u6ede,滯,滞,jinmeiyo,unihan
u6f81-u6e0b,澁,渋,jinmeiyo,unihan
u6fd5-u6e7f,濕,湿,jinmeiyo,unihan
u7027-u6edd,瀧,滝,jinmeiyo,unihan
u7028-u702c,瀨,瀬,jinmeiyo,unihan
u71c8-u706f,燈,灯,jinmeiyo,unihan
u71d2-u713c,燒,焼,jinmeiyo,unihan
u722d-u4e89,爭,争,jinmeiyo,unihan
u7232-u70ba,爲,為,jinmeiyo,unihan
u72c0-u72b6,狀,状,jinmeiyo,unihan
u72f9-u72ed,狹,狭,jinmeiyo,unihan
u7378-u7363,獸,獣,jinmeiyo,unihan
u758a-u7573,疊,畳,jinmeiyo,unihan
u7626-u75e9,瘦,痩,jinmeiyo,unihan
u76c3-u676f,盃,杯,jinmeiyo,unihan
u76dc-u76d7,盜,盗,jinmeiyo,unihan
u76e1-u5c3d,盡,尽,jinmeiyo,unihan
u771e-u771f,眞,真,jinmeiyo,unihan
u788e-u7815,碎,砕,jinmeiyo,unihan
u7955-u79d8,祕,秘,jinmeiyo,unihan
u7962-u79b0,祢,禰,jinmeiyo,unihan
u7977-u79b1,祷,禱,jinmeiyo,unihan
u7984-u797f,禄,祿,jinmeiyo,unihan
u79aa-u7985,禪,禅,jinmeiyo,unihan
u79ae-u793c,禮,礼,jinmeiyo,unihan
u7a3b-u7a32,稻,稲,jinmeiyo,unihan
u7a57-u7a42,穗,穂,jinmeiyo,unihan
u7a63-u7a70,穣,穰,jinmeiyo,unihan
u7cb9-u7c8b,粹,粋,jinmeiyo,unihan
u7da0-u7dd1,綠,緑,jinmeiyo,unihan
u7dd6-u7dd2,緖,緒,jinmeiyo,unihan
u7de3-u7e01,緣,縁,jinmeiyo,unihan
u7e23-u770c,縣,県,jinmeiyo,unihan
u7e31-u7e26,縱,縦,jinmeiyo,unihan
u7e96-u7e4a,纖,繊,jinmeiyo,unihan
u807d-u8074,聽,聴,jinmeiyo,unihan
u81df-u81d3,臟,臓,jinmeiyo,unihan
u8207-u4e0e,與,与,jinmeiyo,unihan
u838a-u8358,莊,荘,jinmeiyo,unihan
u840c-u8420,萌,萠,jinmeiyo,unihan
u842c-u4e07,萬,万,jinmeiyo,unihan
u8597-u5712,薗,園,jinmeiyo,unihan
u85b0-u85ab,薰,薫,jinmeiyo,unihan
u85cf-u8535,藏,蔵,jinmeiyo,unihan
u85dd-u82b8,藝,芸,jinmeiyo,unihan
u85e5-u85ac,藥,薬,jinmeiyo,unihan
u865b-u865a,虛,虚,jinmeiyo,unihan
u885e-u885b,衞,衛,jinmeiyo,unihan
u88dd-u88c5,裝,装,jinmeiyo,unihan
u89bd-u89a7,覽,覧,jinmeiyo,unihan
u8b20-u8b21,謠,謡,jinmeiyo,unihan
u8b93-u8b72,讓,譲,jinmeiyo,unihan
u8ce3-u58f2,賣,売,jinmeiyo,unihan
u8cf4-u983c,賴,頼,jinmeiyo,unihan
u8f49-u8ee2,轉,転,jinmeiyo,unihan
u9065-u9059,遥,遙,jinmeiyo,unihan
u90de-u90ce,郞,郎,jinmeiyo,unihan
u9189-u9154,醉,酔,jinmeiyo,unihan
u91c0-u91b8,釀,醸,jinmeiyo,unihan
u9304-u9332,錄,録,jinmeiyo,unihan
u934a-u932c,鍊,錬,jinmeiyo,unihan
u93ad-u93ae,鎭,鎮,jinmeiyo,unihan
u9444-u92f3,鑄,鋳,jinmeiyo,unihan
u9677-u9665,陷,陥,jinmeiyo,unihan
u96aa-u967a,險,険,jinmeiyo,unihan
u96dc-u96d1,雜,雑,jinmeiyo,unihan
u975c-u9759,靜,静,jinmeiyo,unihan
u986f-u9855,顯,顕,jinmeiyo,unihan
u98dc-u7ffb,飜,翻,jinmeiyo,unihan
u99c8-u99c6,駈,駆,jinmeiyo,unihan
u9a37-u9a12,騷,騒,jinmeiyo,unihan
u9a57-u9a13,驗,験,jinmeiyo,unihan
u9aee-u9aea,髮,髪,jinmeiyo,unihan
u9dc4-u9d8f,鷄,鶏,jinmeiyo,unihan
u9ec3-u9ec4,黃,黄,jinmeiyo,unihan
u9ed1-u9ed2,黑,黒,jinmeiyo,unihan
u9ed8-u9ed9,默,黙,jinmeiyo,unihan
u9f4a-u6589,齊,斉,jinmeiyo,unihan
u9f8d-u7adc,龍,竜,jinmeiyo,unihan
u5f0c-u4e00,弌,一,kanjidic,kanjidic2
u5f0e-u4e09,弎,三,kanjidic,kanjidic2
u4e04-u4e0a,丄,上,kanjidic,kanjidic2
u4e05-u4e0b,丅,下,kanjidic,kanjidic2
