ID,Language_ID,Form,Relation,Etymon_Language,Etymon,Etymon_Translit,Source
osc-eius,lat,-eius,derived,osc,,,wiktionary-oscan
osc-Abella,lat,Abella,borrowed,osc,,,wiktionary-oscan
osc-Arpinum,lat,Arpinum,derived,osc,,,wiktionary-oscan
osc-Arrius,lat,Arrius,borrowed,osc,*𐌀𐌓𐌓𐌉𐌄𐌔,*Arries,wiktionary-oscan
osc-Atella,lat,Atella,derived,osc,𐌀𐌃𐌄𐌓𐌋,,wiktionary-oscan
osc-Calavius,lat,Calavius,borrowed,osc,𐌊𐌀𐌋𐌀𐌅𐌉𐌉𐌔,,wiktionary-oscan
osc-Casinum,lat,Casinum,derived,osc,,,wiktionary-oscan
osc-Flusor,lat,Flusor,borrowed,osc,𐌅𐌋𐌖𐌖𐌔𐌀,,wiktionary-oscan
osc-Gavius,lat,Gavius,derived,osc,,,wiktionary-oscan
osc-Herennius,lat,Herennius,derived,osc,,,wiktionary-oscan
osc-Hirpini,lat,Hirpini,derived,osc,,,wiktionary-oscan
osc-Italia,lat,Italia,derived,osc,𐌅𐌝𐌕𐌄𐌋𐌉𐌞,,wiktionary-oscan
osc-Larinum,lat,Larinum,borrowed,osc,,,wiktionary-oscan
osc-Lucania,lat,Lucania,derived,osc,,,wiktionary-oscan
osc-Mamurra,lat,Mamurra,derived,osc,,,wiktionary-oscan
osc-Marius,lat,Marius,derived,osc,,,wiktionary-oscan
osc-Monnius,lat,Monnius,derived,osc,,,wiktionary-oscan
osc-Mons-Casinus,lat,Mons Casinus,borrowed,osc,,,wiktionary-oscan
osc-Nola,lat,Nola,derived,osc,𐌍𐌞𐌅𐌋𐌞,,wiktionary-oscan
osc-Pescennius,lat,Pescennius,derived,osc,,,wiktionary-oscan
osc-Pompeii,lat,Pompeii,borrowed,osc,*pompe,,wiktionary-oscan
osc-Pompeius,lat,Pompeius,borrowed,osc,,,wiktionary-oscan
osc-Pompeji,lat,Pompeji,borrowed,osc,*pompe,,wiktionary-oscan
osc-Pomponius,lat,Pomponius,derived,osc,*pompe,,wiktionary-oscan
osc-Pontius,lat,Pontius,derived,osc,𐌐𐌏𐌍𐌕𐌖𐌔,,wiktionary-oscan
osc-Salernum,lat,Salernum,derived,osc,,,wiktionary-oscan
osc-Salvius,lat,Salvius,borrowed,osc,𐌔𐌀𐌋𐌀𐌅𐌉𐌉𐌔,,wiktionary-oscan
osc-Statius,lat,Statius,borrowed,osc,𐌔𐌕𐌀𐌀𐌕𐌉𐌔,,wiktionary-oscan
osc-Taburnus,lat,Taburnus,borrowed,osc,,,wiktionary-oscan
osc-Tifernus,lat,Tifernus,borrowed,osc,,,wiktionary-oscan
osc-Vesuvius,lat,Vesuvius,derived,osc,𐌚𐌄𐌔𐌚,,wiktionary-oscan
osc-Vibius,lat,Vibius,borrowed,osc,𐌅𐌉𐌁𐌉𐌔,,wiktionary-oscan
osc-bassus,lat,bassus,borrowed,osc,,,wiktionary-oscan
osc-brutus,lat,brutus,borrowed,osc,,,wiktionary-oscan
osc-bufo,lat,bufo,derived,osc,,,wiktionary-oscan
osc-caria,lat,caria,borrowed,osc,,,wiktionary-oscan
