ID,Substitute
KR0002,若
KR0003,說
KR0004,𥘉
KR0006,兮
KR0009,寄
KR0010,歲
KR0013,𬒳
KR0014,能
KR0016,騎
KR0017,鬼
KR0018,負
KR0022,邦
KR0024,𥙷
KR0025,從
KR0026,觀
KR0033,直
KR0037,棗
KR0038,國
KR0045,揚
KR0047,南
KR0048,郎
KR0052,經
KR0055,深
KR0056,卿
KR0057,尤
KR0058,黎
KR0059,私
KR0060,竊
KR0063,應
KR0067,庾
KR0068,棘
KR0069,灰
KR0071,繼
KR0073,𥙿
KR0074,桓
KR0075,淫
KR0076,弦
KR0077,却
KR0078,姬
KR0079,肉
KR0082,𣣔
KR0083,𥿄
KR0085,足
KR0088,耶
KR0091,稱
KR0093,絲
KR0096,權
KR0097,蜜
KR0098,允
KR0099,慨
KR0100,軌
KR0101,監
KR0103,撰
KR0104,憂
KR0105,誼
KR0106,恒
KR0107,釵
KR0111,忘
KR0112,黍
KR0113,脩
KR0114,卜
KR0115,冥
KR0116,覺
KR0118,遷
KR0119,臾
KR0120,𧺫
KR0122,掾
KR0123,吉
KR0126,穢
KR0127,輕
KR0129,𫀆
KR0130,履
KR0134,勸
KR0137,或
KR0138,纔
KR0143,彖
KR0145,取
KR0147,聊
KR0149,靈
KR0152,哭
KR0154,曷
KR0155,升
KR0156,彝
KR0158,迴
KR0159,慶
KR0160,華
KR0161,鬚
KR0162,捐
KR0163,埸
KR0165,洩
KR0167,𣸪
KR0170,蒙
KR0171,蘇
KR0172,歡
KR0178,恐
KR0180,懶
KR0183,垂
KR0186,輒
KR0188,𬞞
KR0189,荒
KR0190,𢾗
KR0192,確
KR0194,寵
KR0196,烟
KR0197,號
KR0199,舊
KR0204,指
KR0205,遽
KR0208,趣
KR0209,𬒮
KR0210,遮
KR0211,弓
KR0213,舍
KR0214,蚩
KR0215,隻
KR0216,忍
KR0219,黠
KR0224,網
KR0225,𬗟
KR0230,寢
KR0235,鳳
KR0237,𥜗
KR0243,潤
KR0244,適
KR0245,羹
KR0247,衒
KR0249,𬋩
KR0251,𫾣
KR0252,茫
KR0253,蔣
KR0254,腴
KR0257,𠫭
KR0258,雜
KR0259,攬
KR0260,褐
KR0262,𣪚
KR0266,器
KR0268,慈
KR0269,吐
KR0270,溥
KR0271,𨳩
KR0274,𫐠
KR0275,颶
KR0278,優
KR0281,解
KR0283,衍
KR0284,籟
KR0293,𪷟
KR0294,鬼
KR0295,昴
KR0302,𡵨
KR0308,漿
KR0310,𥚹
KR0311,仇
KR0315,廕
KR0317,愆
KR0322,𥚑
KR0323,𣢾
KR0324,獎
KR0327,笛
KR0328,罟
KR0330,韋
KR0331,𬎼
KR0333,亂
KR0334,魄
KR0341,𤱔
KR0344,示
KR0345,蠶
KR0346,飾
KR0347,瓌
KR0349,囂
KR0350,縛
KR0352,鄘
KR0355,琢
KR0357,惕
KR0360,𣆀
KR0362,𧃊
KR0364,滕
KR0365,眩
KR0366,搏
KR0369,叟
KR0371,蔲
KR0374,纏
KR0378,泥
KR0379,纔
KR0380,玖
KR0381,壒
KR0387,脊
KR0389,𥅆
KR0390,𥪡
KR0391,臧
KR0393,蟲
KR0394,𣑽
KR0397,寝
KR0403,沿
KR0405,面
KR0406,驂
KR0407,卯
KR0408,適
KR0410,芍
KR0414,纏
KR0416,疆
KR0418,奉
KR0422,徊
KR0424,臭
KR0425,獺
KR0426,簪
KR0427,僭
KR0429,慘
KR0430,靂
KR0433,蓍
KR0435,𢋫
KR0438,瓜
KR0444,窈
KR0446,乖
KR0449,罩
KR0454,衷
KR0455,𣅿
KR0456,羃
KR0463,𤇺
KR0466,凌
KR0468,晋
KR0479,𩕄
KR0483,逸
KR0484,瘠
KR0494,曩
KR0503,追
KR0505,鮑
KR0516,䱷
KR0520,懈
KR0521,蟹
KR0525,蕙
KR0526,𤏡
KR0527,𣙗
KR0530,哲
KR0534,賵
KR0535,宰
KR0541,陡
KR0544,曹
KR0545,首
KR0549,墮
KR0557,激
KR0560,局
KR0562,旨
KR0563,徑
KR0564,勲
KR0565,涼
KR0568,嬾
KR0569,鼻
KR0573,抱
KR0575,珍
KR0578,瞑
KR0580,嵕
KR0582,供
KR0583,鵬
KR0586,氍
KR0589,遞
KR0590,窆
KR0592,頓
KR0597,蜂
KR0598,愍
KR0600,豺
KR0601,胤
KR0602,瓠
KR0603,虧
KR0604,躞
KR0607,詹
KR0610,鉛
KR0618,謗
KR0619,簸
KR0620,蛇
KR0623,熱
KR0625,欝
KR0626,譖
KR0631,瑩
KR0633,牆
KR0634,冊
KR0635,虧
KR0637,派
KR0638,拗
KR0639,𥻘
KR0641,角
KR0643,聊
KR0646,偉
KR0650,欝
KR0651,殊
KR0652,散
KR0653,光
KR0654,誓
KR0656,嶺
KR0661,暝
KR0663,歷
KR0669,桃
KR0670,𥫄
KR0672,低
KR0677,探
KR0684,邈
KR0692,闕
KR0697,澂
KR0698,湎
KR0700,弘
KR0701,醢
KR0703,睫
KR0705,寥
KR0709,走
KR0713,忙
KR0716,匡
KR0717,聳
KR0723,宇
KR0725,額
KR0728,陋
KR0732,齁
KR0733,廷
KR0734,抆
KR0737,洄
KR0741,盤
KR0744,醉
KR0745,煎
KR0746,癩
KR0747,曄
KR0748,靂
KR0752,屨
KR0753,死
KR0754,侃
KR0760,跎
KR0762,悚
KR0771,蹈
KR0773,厭
KR0781,滅
KR0791,茂
KR0798,殊
KR0800,宰
KR0805,窣
KR0806,瓊
KR0814,厨
KR0817,鐙
KR0820,櫪
KR0821,噓
KR0822,𢥠
KR0823,虛
KR0826,迅
KR0828,倪
KR0831,澹
KR0834,霪
KR0840,祚
KR0842,暴
KR0843,咽
KR0846,鵲
KR0855,詣
KR0872,藻
KR0883,竈
KR0884,攙
KR0892,曙
KR0895,孝
KR0896,媸
KR0900,捺
KR0913,擡
KR0920,麯
KR0921,蜣
KR0923,椒
KR0924,狖
KR0926,蔕
KR0928,湄
KR0936,抗
KR0937,瞽
KR0943,萌
KR0944,勰
KR0953,壓
KR0962,肥
KR0967,飢
KR0969,逃
KR0976,噆
KR0980,差
KR0981,盥
KR0983,貳
KR0986,犛
KR0989,蹇
KR0991,崎
KR0998,灊
KR1003,慘
KR1022,域
KR1023,瘃
KR1037,衣
KR1048,𧂾
KR1049,貿
KR1056,賵
KR1067,丑
KR1068,閉
KR1072,撤
KR1074,踳
KR1079,侯
KR1080,傘
KR1087,壑
KR1091,揑
KR1093,借
KR1096,遽
KR1099,疊
KR1107,馵
KR1117,賦
KR1118,誇
KR1119,膠
KR1130,篾
KR1146,螟
KR1147,與
KR1156,璞
KR1157,旟
KR1162,肇
KR1164,縫
KR1172,滂
KR1182,崷
KR1186,鐫
KR1189,齊
KR1192,裔
KR1198,弘
KR1203,臣
KR1218,靃
KR1232,噆
KR1240,衝
KR1252,達
KR1260,瀑
KR1262,曄
KR1277,謾
KR1289,𤾂
KR1292,崿
KR1300,睠
KR1305,穴
KR1306,闃
KR1310,嵋
KR1313,競
KR1316,恣
KR1318,𠩵
KR1322,遺
KR1323,礚
KR1325,𦍕
KR1332,軒
KR1347,蔓
KR1358,愕
KR1368,睡
KR1378,鸝
KR1400,犖
KR1404,祇
KR1407,瞬
KR1426,烹
KR1435,𠺕
KR1447,𥫱
KR1449,榻
KR1461,坐
KR1462,俾
KR1466,𡵻
KR1477,愆
KR1481,瀍
KR1510,慢
KR1521,毓
KR1535,𨄌
KR1558,𡋯
KR1560,牆
KR1563,䙡
KR1584,肉
KR1588,籀
KR1601,瘞
KR1602,褭
KR1603,𠢐
KR1612,虎
KR1614,總
KR1617,剞
KR1622,睺
KR1623,教
KR1635,屼
KR1644,暀
KR1675,座
KR1687,軥
KR1716,枕
KR1718,緵
KR1737,𥝧
KR1758,纂
KR1785,𨁝
KR1787,緬
KR1794,徹
KR1796,縠
KR1816,墼
KR1827,𦢊
KR1879,隷
KR1900,廛
KR1901,返
KR1924,獬
KR1928,庶
KR1982,𦣱
KR1983,舁
KR2067,睒
