ID,Char,Language_ID,Count,Source
perseus-greek-eng-U00A2,¢,eng,4,perseus-greek
perseus-greek-eng-U00A3,£,eng,16,perseus-greek
perseus-greek-eng-U00A5,¥,eng,1,perseus-greek
perseus-greek-eng-U00A7,§,eng,3,perseus-greek
perseus-greek-grc-U00A8,¨,grc,1,perseus-greek
perseus-greek-eng-U00A9,©,eng,1,perseus-greek
perseus-greek-eng-U00AB,«,eng,6,perseus-greek
perseus-greek-grc-U00AB,«,grc,88,perseus-greek
perseus-greek-eng-U00AF,¯,eng,1,perseus-greek
perseus-greek-grc-U00AF,¯,grc,115,perseus-greek
perseus-greek-eng-U00B0,°,eng,1,perseus-greek
perseus-greek-grc-U00B4,´,grc,3,perseus-greek
perseus-greek-eng-U00B7,·,eng,20,perseus-greek
perseus-greek-grc-U00B7,·,grc,90787,perseus-greek
perseus-greek-eng-U00BB,»,eng,4,perseus-greek
perseus-greek-grc-U00BB,»,grc,87,perseus-greek
perseus-greek-grc-U00BD,½,grc,1,perseus-greek
perseus-greek-eng-U00D7,×,eng,1,perseus-greek
perseus-greek-grc-U00D7,×,grc,16,perseus-greek
perseus-greek-eng-U00E6,æ,eng,722,perseus-greek
perseus-greek-eng-U00F7,÷,eng,1,perseus-greek
perseus-greek-eng-U0153,œ,eng,300,perseus-greek
perseus-greek-grc-U02B9,ʹ,grc,38,perseus-greek
perseus-greek-eng-U02BC,ʼ,eng,10,perseus-greek
perseus-greek-grc-U02BC,ʼ,grc,118419,perseus-greek
perseus-greek-eng-U02BD,ʽ,eng,15,perseus-greek
perseus-greek-grc-U02BD,ʽ,grc,1273,perseus-greek
perseus-greek-eng-U02D8,˘,eng,1,perseus-greek
perseus-greek-grc-U02D8,˘,grc,120,perseus-greek
perseus-greek-grc-U02D9,˙,grc,1,perseus-greek
perseus-greek-grc-U0375,͵,grc,6,perseus-greek
perseus-greek-eng-U037D,ͽ,eng,1,perseus-greek
perseus-greek-grc-U0384,΄,grc,17,perseus-greek
perseus-greek-eng-U03B1,α,eng,750,perseus-greek
perseus-greek-grc-U03B1,α,grc,272065,perseus-greek
perseus-greek-eng-U03B2,β,eng,165,perseus-greek
perseus-greek-grc-U03B2,β,grc,114732,perseus-greek
perseus-greek-eng-U03B3,γ,eng,249,perseus-greek
perseus-greek-grc-U03B3,γ,grc,174729,perseus-greek
perseus-greek-eng-U03B4,δ,eng,334,perseus-greek
perseus-greek-grc-U03B4,δ,grc,218313,perseus-greek
perseus-greek-eng-U03B5,ε,eng,615,perseus-greek
perseus-greek-grc-U03B5,ε,grc,270907,perseus-greek
perseus-greek-eng-U03B6,ζ,eng,88,perseus-greek
perseus-greek-grc-U03B6,ζ,grc,59560,perseus-greek
perseus-greek-eng-U03B7,η,eng,426,perseus-greek
perseus-greek-grc-U03B7,η,grc,224606,perseus-greek
perseus-greek-eng-U03B8,θ,eng,248,perseus-greek
perseus-greek-grc-U03B8,θ,grc,176514,perseus-greek
perseus-greek-eng-U03B9,ι,eng,741,perseus-greek
perseus-greek-grc-U03B9,ι,grc,269963,perseus-greek
perseus-greek-eng-U03BA,κ,eng,439,perseus-greek
perseus-greek-grc-U03BA,κ,grc,221049,perseus-greek
perseus-greek-eng-U03BB,λ,eng,438,perseus-greek
perseus-greek-grc-U03BB,λ,grc,219168,perseus-greek
perseus-greek-eng-U03BC,μ,eng,383,perseus-greek
perseus-greek-grc-U03BC,μ,grc,227790,perseus-greek
perseus-greek-eng-U03BD,ν,eng,619,perseus-greek
perseus-greek-grc-U03BD,ν,grc,267275,perseus-greek
perseus-greek-eng-U03BE,ξ,eng,96,perseus-greek
perseus-greek-grc-U03BE,ξ,grc,92896,perseus-greek
perseus-greek-eng-U03BF,ο,eng,717,perseus-greek
perseus-greek-grc-U03BF,ο,grc,268970,perseus-greek
perseus-greek-eng-U03C0,π,eng,401,perseus-greek
perseus-greek-grc-U03C0,π,grc,226178,perseus-greek
perseus-greek-eng-U03C1,ρ,eng,540,perseus-greek
perseus-greek-grc-U03C1,ρ,grc,243225,perseus-greek
perseus-greek-eng-U03C2,ς,eng,550,perseus-greek
perseus-greek-eng-U03C3,σ,eng,418,perseus-greek
perseus-greek-grc-U03C3,σ,grc,263198,perseus-greek
perseus-greek-eng-U03C4,τ,eng,536,perseus-greek
perseus-greek-grc-U03C4,τ,grc,255171,perseus-greek
perseus-greek-eng-U03C5,υ,eng,490,perseus-greek
perseus-greek-grc-U03C5,υ,grc,240562,perseus-greek
perseus-greek-eng-U03C6,φ,eng,197,perseus-greek
perseus-greek-grc-U03C6,φ,grc,144680,perseus-greek
perseus-greek-eng-U03C7,χ,eng,171,perseus-greek
perseus-greek-grc-U03C7,χ,grc,151668,perseus-greek
perseus-greek-eng-U03C8,ψ,eng,59,perseus-greek
perseus-greek-grc-U03C8,ψ,grc,41205,perseus-greek
perseus-greek-eng-U03C9,ω,eng,318,perseus-greek
perseus-greek-grc-U03C9,ω,grc,214519,perseus-greek
perseus-greek-grc-U03DB,ϛ,grc,11,perseus-greek
perseus-greek-eng-U03DD,ϝ,eng,1,perseus-greek
perseus-greek-grc-U03DD,ϝ,grc,98,perseus-greek
perseus-greek-grc-U03F2,ϲ,grc,11,perseus-greek
perseus-greek-eng-U1FBD,᾽,eng,3,perseus-greek
perseus-greek-grc-U1FBD,᾽,grc,987,perseus-greek
perseus-greek-eng-U1FBF,᾿,eng,3,perseus-greek
perseus-greek-grc-U1FBF,᾿,grc,149,perseus-greek
perseus-greek-grc-U1FC0,῀,grc,1,perseus-greek
perseus-greek-eng-U1FFE,῾,eng,3,perseus-greek
perseus-greek-grc-U1FFE,῾,grc,22,perseus-greek
perseus-greek-eng-U2013,–,eng,20,perseus-greek
perseus-greek-grc-U2013,–,grc,4,perseus-greek
perseus-greek-eng-U2014,—,eng,10569,perseus-greek
perseus-greek-grc-U2014,—,grc,4459,perseus-greek
perseus-greek-eng-U2018,‘,eng,668,perseus-greek
perseus-greek-grc-U2018,‘,grc,248,perseus-greek
perseus-greek-eng-U2019,’,eng,16621,perseus-greek
perseus-greek-grc-U2019,’,grc,14278,perseus-greek
perseus-greek-eng-U201C,“,eng,1041,perseus-greek
perseus-greek-grc-U201C,“,grc,1214,perseus-greek
perseus-greek-eng-U201D,”,eng,1074,perseus-greek
perseus-greek-grc-U201D,”,grc,1212,perseus-greek
perseus-greek-grc-U201E,„,grc,6,perseus-greek
perseus-greek-eng-U2020,†,eng,7,perseus-greek
perseus-greek-grc-U2020,†,grc,294,perseus-greek
perseus-greek-grc-U2026,…,grc,4,perseus-greek
perseus-greek-grc-U2032,′,grc,136,perseus-greek
perseus-greek-grc-U2039,‹,grc,36,perseus-greek
