ID,Headword,Language_ID,Part_Of_Speech,Description,URN,Source
urn-nabu-dict-wiktionary-akk-atum-suffix,-atum,akk,suffix,Suffix used to form feminine adjectives from masculine adjectives.,urn:nabu:dict:wiktionary-akk:-atum:suffix,wiktionary-akk
urn-nabu-dict-wiktionary-akk-i-suffix,-iš,akk,suffix,"Combined with an infinitive, it denotes purpose, and corresponds to the preposition 𒀀𒈾 (ana) plus infinitive. It only occurs in Old Babylonian literary texts.",urn:nabu:dict:wiktionary-akk:-iš:suffix,wiktionary-akk
urn-nabu-dict-wiktionary-akk-suffix,-ī,akk,suffix,Suffix used to derive adjectives (with the meaning “related to ...”) from nouns.,urn:nabu:dict:wiktionary-akk:-ī:suffix,wiktionary-akk
urn-nabu-dict-wiktionary-akk-tum-suffix,-ūtum,akk,suffix,"-ship, -ness, -hood, -ity, -ery",urn:nabu:dict:wiktionary-akk:-ūtum:suffix,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Abum-name,Abum,akk,name,"Abu, the fifth month of the Babylonian calendar (approximately July-August)",urn:nabu:dict:wiktionary-akk:Abum:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Adad-name,Adad,akk,name,"Adad (the god of storm, identified with the Sumerian god Ishkur, son of Anu or Enlil)",urn:nabu:dict:wiktionary-akk:Adad:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Addarum-name,Addarum,akk,name,"Adar, the twelfth month of the Babylonian calendar (approximately February-March)",urn:nabu:dict:wiktionary-akk:Addarum:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Akkade-name,Akkade,akk,name,Akkad (a land in northern Babylonia and a city founded by Sargon of Akkad),urn:nabu:dict:wiktionary-akk:Akkade:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Amurrum-name,Amurrum,akk,name,Amorite,urn:nabu:dict:wiktionary-akk:Amurrum:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Am-l-Marduk-name,Amēl-Marduk,akk,name,"a male given name: Amel-Marduk, king of Babylon",urn:nabu:dict:wiktionary-akk:Amēl-Marduk:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Ausi-i-name,Ausi'i,akk,name,"Hoshea, the nineteenth and last king of the Israelite Kingdom of Israel",urn:nabu:dict:wiktionary-akk:Ausi'i:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Ayy-rum-name,Ayyārum,akk,name,"Ayyāru, the second month of the Babylonian calendar",urn:nabu:dict:wiktionary-akk:Ayyārum:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-A-qaluna-name,Ašqaluna,akk,name,Ashkelon,urn:nabu:dict:wiktionary-akk:Ašqaluna:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-A-r-name,Aššūr,akk,name,Assur (political capital of Assyria from the XIV to the IX centuries BCE),urn:nabu:dict:wiktionary-akk:Aššūr:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-B-bilim-name,Bābilim,akk,name,Babylon,urn:nabu:dict:wiktionary-akk:Bābilim:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-B-l-arra-u-ur-name,Bēl-šarra-uṣur,akk,name,"a male given name: Belshazzar, son of the last king of Babylon",urn:nabu:dict:wiktionary-akk:Bēl-šarra-uṣur:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Elamtu-noun,Elamtu,akk,noun,"Elam (an ancient civilization and empire in modern southwestern Iran, existing between c. 3200 BCE and 539 BCE)",urn:nabu:dict:wiktionary-akk:Elamtu:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-En-ma-Eli-name,Enūma Eliš,akk,name,"The Enûma Eliš (lit. ""when on high""), an Ancient Mesopotamian creation myth named after its opening words.",urn:nabu:dict:wiktionary-akk:Enūma Eliš:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Gilg-me-name,Gilgāmeš,akk,name,Gilgamesh (semi-legendary king of Uruk),urn:nabu:dict:wiktionary-akk:Gilgāmeš:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Gurd-name,Gurdî,akk,name,a male given name,urn:nabu:dict:wiktionary-akk:Gurdî:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Idiglat-name,Idiglat,akk,name,Tigris,urn:nabu:dict:wiktionary-akk:Idiglat:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Igig-name,Igigū,akk,name,"Igigi, a collective name for the ""great gods""",urn:nabu:dict:wiktionary-akk:Igigū:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Isqaluna-name,Isqaluna,akk,name,alternative form of Ašqaluna,urn:nabu:dict:wiktionary-akk:Isqaluna:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-I-kuz-ya-name,Iškuzāya,akk,name,the country inhabited by the Scythians,urn:nabu:dict:wiktionary-akk:Iškuzāya:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-I-pak-ya-name,Išpakāya,akk,name,a male given name,urn:nabu:dict:wiktionary-akk:Išpakāya:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-I-qilunu-name,Išqilunu,akk,name,alternative form of Ašqaluna,urn:nabu:dict:wiktionary-akk:Išqilunu:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-I-tar-name,Ištar,akk,name,"Ishtar (goddess of love and war, associated with the planet Venus, corresponding to the Sumerian Inanna)",urn:nabu:dict:wiktionary-akk:Ištar:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Kina-num-name,Kinaḫnum,akk,name,Canaan,urn:nabu:dict:wiktionary-akk:Kinaḫnum:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-K-su-name,Kūsu,akk,name,Cush,urn:nabu:dict:wiktionary-akk:Kūsu:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Lama-tum-name,Lamaštum,akk,name,Lamashtu (a female demon in Mesopotamian mythology),urn:nabu:dict:wiktionary-akk:Lamaštum:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Marduk-name,Marduk,akk,name,"Marduk (chief god of Babylon, later king of the gods)",urn:nabu:dict:wiktionary-akk:Marduk:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Melu-a-name,Meluḫḫa,akk,name,Meluhha,urn:nabu:dict:wiktionary-akk:Meluḫḫa:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Menas-name,Menasî,akk,name,a male given name Manasseh,urn:nabu:dict:wiktionary-akk:Menasî:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Mi-ri-name,Miṣri,akk,name,Egypt,urn:nabu:dict:wiktionary-akk:Miṣri:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Mu-ur-name,Muṣur,akk,name,Egypt,urn:nabu:dict:wiktionary-akk:Muṣur:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Nab-apla-u-ur-name,Nabû-apla-uṣur,akk,name,"a male given name: Nabopolassar, first king of the Neo-Babylonian Empire",urn:nabu:dict:wiktionary-akk:Nabû-apla-uṣur:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Nab-kudurri-u-ur-name,Nabû-kudurri-uṣur,akk,name,"a male given name, equivalent to English Nebuchadnezzar; the name of several kings of Babylon, most notably Nebuchadnezzar the Great",urn:nabu:dict:wiktionary-akk:Nabû-kudurri-uṣur:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Nab-na-id-name,Nabû-na'id,akk,name,"a male given name: Nabonidus, the last king of Babylon",urn:nabu:dict:wiktionary-akk:Nabû-na'id:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Ninua-name,Ninua,akk,name,Nineveh (capital city of Assyria in the late VIII and VII centuries BCE),urn:nabu:dict:wiktionary-akk:Ninua:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Nisaba-name,Nisaba,akk,name,Nisaba (grain goddess),urn:nabu:dict:wiktionary-akk:Nisaba:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Paz-zu-name,Pazūzu,akk,name,"Pazuzu, an evil demon, king of the wind demons.",urn:nabu:dict:wiktionary-akk:Pazūzu:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Paz-z-nu-name,Pazūzānu,akk,name,plural of Pazūzu,urn:nabu:dict:wiktionary-akk:Pazūzānu:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Sir-al-ya-name,Sir'alāya,akk,name,Israelite,urn:nabu:dict:wiktionary-akk:Sir'alāya:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-S-n-noun,Sîn,akk,noun,"Nanna, Suen, Nanna-Suen, the Sumerian moon god, son of Enlil and Ninlil.",urn:nabu:dict:wiktionary-akk:Sîn:noun,wiktionary-akk
urn-nabu-dict-wiktionary-akk-S-mer-na-name,Sāmerīna,akk,name,"The ancient capital of the northern Kingdom of Israel, modern Sebastia in the West Bank",urn:nabu:dict:wiktionary-akk:Sāmerīna:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-S-mer-n-ya-adj,Sāmerīnāya,akk,adj,Samaritan,urn:nabu:dict:wiktionary-akk:Sāmerīnāya:adj,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Tukult-apil-E-ar-name,Tukultī-apil-Ešar,akk,name,alternative form of Tukultī-apil-Ešarra,urn:nabu:dict:wiktionary-akk:Tukultī-apil-Ešar:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Tukult-apil-E-arra-name,Tukultī-apil-Ešarra,akk,name,"a male given name: Tiglath-pileser III, king of the Neo-Assyrian Empire",urn:nabu:dict:wiktionary-akk:Tukultī-apil-Ešarra:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Ugarit-name,Ugarit,akk,name,"Ugarit (an ancient port city in northern Syria, discovered by accident in 1928 together with the Ugaritic texts)",urn:nabu:dict:wiktionary-akk:Ugarit:name,wiktionary-akk
urn-nabu-dict-wiktionary-akk-Urar-u-name,Urarṭu,akk,name,Urartu (a country north of Assyria occupying the mountainous area around Lake Van and enemy of Assyria in the first millennium BCE),urn:nabu:dict:wiktionary-akk:Urarṭu:name,wiktionary-akk
