id	title	title_source	fclasses	start	end	lon	lat	matches
cigs:ADB	Adab	cigs	S	-2600	-331	45.6233	31.9509	https://pleiades.stoa.org/places/787747618
cigs:AKH	Akhetaten	cigs	S	-1500	-1100	30.8959	27.64	https://pleiades.stoa.org/places/149576487;https://www.geonames.org/12119893
cigs:ANS	Anšan	cigs	S	-3100	-1000	52.4123	30.0119	https://pleiades.stoa.org/places/922729;https://www.geonames.org/125047
cigs:ANT	Pī-Kasî	cigs	S	-1900	-1600	44.6393	32.1311	https://pleiades.stoa.org/places/552857304
cigs:APH	Antipatris	cigs	S	-1400	-1100	34.9311	32.1053	https://pleiades.stoa.org/places/687996;https://www.geonames.org/295746
cigs:AQA	Dur-Kurigalzu	cigs	S	-1400	-612	44.1888	33.3599	https://pleiades.stoa.org/places/893988;https://www.geonames.org/6647830
cigs:ARK	Arzaškun	cigs	S	-800	-700	43.0669	38.8107	https://pleiades.stoa.org/places/658093017
cigs:ARR	Arrapha	cigs	S	-911	-612	44.3957	35.4701	https://pleiades.stoa.org/places/893941
cigs:ART	Ḫadatu	cigs	S	-911	-612	38.4078	36.8484	https://pleiades.stoa.org/places/658399;https://www.geonames.org/172902
cigs:ASD	Asdûdu	cigs	S	-911	-612	34.6593	31.756	https://pleiades.stoa.org/places/687838;https://www.geonames.org/293402
cigs:ASS	Assur	cigs	S	-2500	-539	43.2611	35.4557	https://pleiades.stoa.org/places/893945
cigs:ASZ	Ašnakkum	cigs	S	-2500	-1000	40.8978	36.8755	https://pleiades.stoa.org/places/480215077;https://www.geonames.org/169251
cigs:AZN	Aludiri	cigs	S	-900	-700	42.8337	39.2502	https://pleiades.stoa.org/places/939417484
cigs:BAB	Babylon	cigs	S	-1900	-63	44.4258	32.535	https://pleiades.stoa.org/places/893951;https://www.geonames.org/98228
cigs:BAS	Mardaman	cigs	S	-2340	-2200	42.7213	36.9589	https://pleiades.stoa.org/places/48906851
cigs:BOR	Borsippa	cigs	S	-1400	-539	44.3434	32.3924	https://pleiades.stoa.org/places/893964;https://www.geonames.org/448143
cigs:BRK	Nagar	cigs	S	-2340	-2200	41.0584	36.667	https://pleiades.stoa.org/places/874735;https://www.geonames.org/171437
cigs:BRM	Burmageçit	cigs	S	-900	-700	39.5429	38.9714	https://pleiades.stoa.org/places/124319310
cigs:BTB	Bad-Tibira	cigs	S	-2500	-1600	46.004	31.3832	https://pleiades.stoa.org/places/771224406
cigs:BUR	Burmarina	cigs	S	-911	-612	38.0359	36.7875	https://pleiades.stoa.org/places/193113381;https://www.geonames.org/10304605
