ID,Name,Cdaut
a-1,"Afonso Gomes, jograr de Sarria",1
a-3,Afonso Anes do Cotom,3
a-4,Afonso Fernandes Cebolhilha,4
a-5,Afonso Fernandes Cubel,5
a-6,Afonso Lopes de Baião,6
a-7,Afonso Mendes de Besteiros,7
a-8,Afonso Pais de Braga,8
a-10,Afonso Soares Sarraça,10
a-11,Afonso X,11
a-12,Afonso XI,12
a-13,Airas Carpancho,13
a-14,Airas Engeitado,14
a-15,Airas Moniz de Asma,15
a-16,Airas Nunes,16
a-17,Airas Pais,17
a-18,Airas Peres Vuitorom,18
a-20,Airas Veaz,20
a-21,Arnaldo,21
a-22,Bernal de Bonaval,22
a-23,Bonifaci Calvo,23
a-24,Caldeirom,24
a-25,D. Dinis,25
a-27,Diogo Moniz,27
a-28,Diego Pezelho,28
a-29,Estevão Coelho,29
a-30,Estêvão da Guarda,30
a-31,Estêvão Faião,31
a-32,Estêvão Fernandes Barreto,32
a-33,Estêvão Fernandes d'Elvas,33
a-34,Estêvão Peres Froião,34
a-35,Estêvão Reimondo,35
a-36,Estêvão Travanca,36
a-37,Fernando Esquio,37
a-38,Fernão do Lago,38
a-39,Fernão Fernandes Cogominho,39
a-40,Fernão Figueira de Lemos,40
a-41,Fernão Froiaz,41
a-42,Fernão Garcia Esgaravunha,42
a-43,Fernão Gonçalves de Seabra,43
a-44,Fernão Padrom,44
a-45,Fernão Pais de Tamalhancos,45
a-46,Fernão Rodrigues de Calheiros,46
a-47,Fernão Rodrigues Redondo,47
a-48,Fernão Soares de Quinhones,48
a-49,Fernão Velho,49
a-50,Galisteu Fernandes,50
a-52,Garcia Mendes de Eixo,52
a-53,Garcia Peres,53
a-54,Garcia Soares,54
a-55,Gil Peres Conde,55
a-56,Gil Sanches,56
a-57,Golparro,57
a-58,Gomes Garcia,58
a-59,Gonçalo Anes do Vinhal,59
a-60,Gonçalo Garcia,60
a-61,João Airas de Santiago,61
a-62,João Baveca,62
a-63,João de Cangas,63
a-64,João de Gaia,64
a-65,João de Requeixo,65
a-66,João Fernandes de Ardeleiro,66
a-67,João Garcia,67
a-68,João Garcia de Guilhade,68
a-69,João Lobeira,69
a-70,João Lopes de Ulhoa,70
a-71,João Mendes de Briteiros,71
a-72,João Nunes Camanês,72
a-73,João Peres de Aboim,73
a-74,João Romeu de Lugo,74
a-75,João Servando,75
a-76,João Soares Coelho,76
a-77,João Soares de Paiva,77
a-78,João Soares Somesso,78
a-79,João Vasques de Talaveira,79
a-81,João Velho de Pedrogães,81
a-82,João Zorro,82
a-83,"João, jograr",83
a-85,Juião Bolseiro,85
a-86,Lopo,86
a-87,Lopo Lias,87
a-88,Lourenço,88
a-89,Martim,89
a-90,Martim Anes Marinho,90
a-91,Martim Campina,91
a-92,Martim Codax,92
a-93,Martim de Caldas,93
a-94,Martim de Ginzo,94
a-95,Martim Moxa,95
a-96,Martim Padrozelos,96
a-97,Martim Peres Alvim,97
a-98,Martim Soares,98
a-99,Mem Pais,99
a-100,Mem Rodrigues de Briteiros,100
a-101,Mem Rodrigues Tenoiro,101
a-102,Mem Vasques de Folhente,102
a-103,Mendinho,103
a-104,Nunes,104
a-105,Nuno Anes Cerzeo,105
a-106,Múnio Fernandes de Mirapeixe,106
a-107,Nuno Fernandes Torneol,107
a-108,Nuno Peres Sandeu,108
a-109,Nuno Porco,109
a-110,Nuno Rodrigues de Candarei,110
a-111,Nuno Trez,111
a-112,Osoiro Anes,112
a-113,Paio Calvo,113
a-114,Paio de Cana,114
a-115,Paio Gomes Charinho,115
a-116,Paio Soares de Taveirós,116
a-117,Pedro Amigo de Sevilha,117
a-118,Pedro Anes Solaz,118
a-119,"Pedro, conde de Barcelos",119
a-120,Pero Anes Marinho,120
a-121,Pero da Ponte,121
a-122,Pero Garcia de Ambroa,122
a-123,Pero de Armea,123
a-124,Pero de Berdia,124
a-125,Pero Dornelas,125
a-126,Pero de Ver,126
a-127,Pero Garcia Burgalês,127
a-128,Pero Gomes Barroso,128
a-129,Pero Gonçalves de Portocarreiro,129
a-130,Pero Guterres,130
a-131,Pero Larouco,131
a-132,Pero Mafaldo,132
a-133,Pero Mendes da Fonseca,133
a-134,Pero Meogo,134
a-136,Pero Velho de Taveirós,136
a-137,Pero Viviães,137
a-138,Reimon Gonçalves,138
a-140,Rodrigo Anes de Alvares,140
a-141,Rodrigo Anes de Vasconcelos,141
a-142,Rodrigo Anes Redondo,142
a-143,Rui Fernandes de Santiago,143
a-144,Rui Gomes de Briteiros,144
a-145,"Rui Gomes, o Freire",145
a-146,Rui Martins de Ulveira,146
a-147,Rui Martins do Casal,147
a-148,Rui Pais de Ribela,148
a-149,Rui Queimado,149
a-151,Sancho Sanches,151
a-152,Vasco Praga de Sandim,152
a-153,Vasco Gil,153
a-154,Vasco Peres Pardal,154
a-155,Vasco Rodrigues de Calvelo,155
a-156,Vidal,156
a-157,Anónimo,157
a-158,Diogo Gonçalves de Montemor-o-Novo,158
a-159,Alvaro Afonso,159
a-337,Afonso Sanches,337
a-420,Anónimo - cantigas espúrias,420
a-439,Fernando Eanes,439
a-440,Anónimo 1,440
a-441,Anónimo 3,441
a-442,Anónimo 4,442
a-443,Anónimo 5,443
a-444,Anónimo de Santarém,444
a-445,Anónimo 2,445
