ID,Cdcant,URN,Incipit,Author_ID,Genre,Form,Rubric
c-1,1,urn:nabu:cantigas:1,"Amor, des que m'a vós cheguei,",a-157,Lai,Mestria; Cobras singulares; Finda,"Este lais fez Elis, o Baço, que foi Duc de Sansonha, quando passou aa Gram Bretanha, que ora chamam Ingraterra. E passou lá no tempo de rei Artur, para se combater com Tristam, porque lhe matara o padre em ũa batalha. E andando um dia em sa busca, foi pela Joiosa Guarda u era a rainha Iseu de Cornualha. E viu-a tam fremosa que adur lhe poderia home no mundo achar par. E namorou-se entom dela e fez por ela este lais. Este lais posemos acá porque era o melhor que foi fe[i]to."
c-2,2,urn:nabu:cantigas:2,"O Marot haja mal grado,",a-157,Lai,Refrão; Cobras singulares,"Esta cantiga fezerom quatro donzelas a Marõot d’Irlanda, em tempo de Rei Artur, porque Marõot filhava tôdalas donzelas que achava em guarda dos cavaleiros, se as podia conquerer deles, e enviava-as para Irlanda, para serem sempre em servidom da terra. E esto fazia el porque fora morto seu padre por razom de ũa donzela que levava em guarda.(Rubrica no final da Arte de Trovar): Esta cantiga é a primeira que achamos que foi feita e fezerom-na quatro donzelas em tempo de rei Artur a Maraot d’Irlanda per la ... e tornamo-la em lenguagem palavra per palavra, e diz as[s]i: «O Maraot [...] mal grado»."
c-3,3,urn:nabu:cantigas:3,"Mui gram temp'há, par Deus, que eu nom vi",a-157,Lai,Mestria; Cobras uníssonas,"Dom Tristam, o namorado, fez esta cantiga."
c-4,4,urn:nabu:cantigas:4,"Dom Amor, eu cant'e choro,",a-157,Lai,"Mestria; Cobras uníssonas; Dobre: (vv. 1 e 3 de cada estrofe); cant'e choro (I), oro (II), demoro (III)",
c-5,5,urn:nabu:cantigas:5,Ledas sejamos hojemais!,a-157,Lai,Refrão; Cobras singulares,"Este lais fezerom donzelas a dom [L]ançarot quando estava na Ínsoa da Lidiça, quando a Rainha Genevra [o] achou com a filha do Rei Peles, e lhi defendeu que nom parecesse ant’ela."
c-6,6,urn:nabu:cantigas:6,Pois mi nom val d'eu muit'amar,a-15,Amor,Mestria; Cobras uníssonas,
c-7,7,urn:nabu:cantigas:7,"- Mia senhor, vim-vos rogar,",a-15,Amor,"Mestria, dialogada; Cobras doblas",
c-8,8,urn:nabu:cantigas:8,Deus! que pouco que sabia,a-27,Amor,Mestria; Cobras doblas alternadas,
c-9,9,urn:nabu:cantigas:9,Se soubess'a mia senhor com'a mi plazeria,a-27,Amor,Fragmento,
c-10,10,urn:nabu:cantigas:10,"Mim prês forçadament'Amor,",a-112,Amor,Mestria; Cobras doblas,
c-11,11,urn:nabu:cantigas:11,Sazom é já de me partir,a-112,Amor,Mestria; Cobras doblas (I e II) e singulares (III e IV),
c-12,12,urn:nabu:cantigas:12,"Eu, que nova senhor filhei,",a-112,Amor,Refrão; Cobras singulares,
c-13,13,urn:nabu:cantigas:13,Cuidei eu de meu coraçom,a-112,Amor,Mestria; Cobras doblas,
c-14,14,urn:nabu:cantigas:14,"E por que me desamades,",a-112,Amor,Mestria; Cobras doblas,
c-15,15,urn:nabu:cantigas:15,"Vós, mia senhor, que nom havedes cura",a-112,Amor,Mestria; Cobras uníssonas,
c-16,16,urn:nabu:cantigas:16,"Par Deus, fremosa mia senhor,",a-112,Amor,Fragmento,
c-17,17,urn:nabu:cantigas:17,Hei eu tam gram medo de mia senhor,a-112,Amor,Fragmento,
c-18,18,urn:nabu:cantigas:18,"Pois me fazedes, mia senhor,",a-106,Amor,"Mestria; Cobras singulares (rima c uníssona); Dobre: (vv. 1 e 7 de cada estrofe); senhor (I), vós bem (II), mal (III), pois Deus quer (IV)",
c-19,19,urn:nabu:cantigas:19,"Dizer-vos quer'eu, mia senhor,",a-106,Amor,"Fragmento; Palavra perduda: vv. 1, 4, 5 e 8",
c-20,20,urn:nabu:cantigas:20,"Ai mia senhor! sempr'eu esto temi,",a-40,Amor,Mestria; Cobras singulares (rima c uníssona),
c-21,21,urn:nabu:cantigas:21,Diz meu amigo que lhe faça bem,a-40,Amigo,Fragmento,
c-22,22,urn:nabu:cantigas:22,"Tu, que ora vens de Montemaior,",a-56,Amor,Refrão; Cobras singulares,
c-23,23,urn:nabu:cantigas:23,"Pois eu d'atal ventura, mia senhor,",a-145,Amor,Mestria; Cobras doblas; Ateúda atá finda; Finda,
c-24,24,urn:nabu:cantigas:24,"Oimais nom sei eu, mia senhor,",a-145,Amor,Mestria; Cobras doblas,
c-25,25,urn:nabu:cantigas:25,"Nom vos façam creer, senhor,",a-46,Amor,"Refrão; Cobras doblas (rima a uníssona, rima c singular); Palavra(s)-rima: (v. 1 de cada estrofe); senhor/mia senhor; Palavra perduda: v. 1 de cada estrofe; Ateúda",
c-26,26,urn:nabu:cantigas:26,"Assaz entendedes vós, mia senhor,",a-46,Amor,Refrão; Cobras singulares,
c-28,28,urn:nabu:cantigas:28,"Quero-vos eu dizer, senhor,",a-46,Amor,Mestria; Cobras singulares (rima a uníssona); Palavra(s)-rima: (v. 1 de cada estrofe); senhor/mia senhor; Palavra perduda: v. 1 de cada estrofe,
c-29,29,urn:nabu:cantigas:29,Dê'lo dia em que eu amei,a-46,Amor,Mestria; Cobras doblas; Palavra perduda: v. 8 de cada estrofe,
c-30,30,urn:nabu:cantigas:30,Ora tenh'eu que hei razom,a-46,Amor,Mestria; Cobras singulares (rima c uníssona),
c-31,31,urn:nabu:cantigas:31,"Vedes, fremosa mia senhor,",a-46,Amor,"Refrão; Cobras rima a uníssona, rima b singular; Palavra(s)-rima: (v. 1 de cada estrofe); mia senhor",
c-32,32,urn:nabu:cantigas:32,Ora faz a mim mia senhor,a-46,Amor,"Mestria; Cobras doblas; Palavra(s)-rima: (v. 7 de cada estrofe); bem (I, II), nom (III, IV); Palavra perduda: v. 1 de cada estrofe",
c-33,33,urn:nabu:cantigas:33,"Par Deus, senhor, ora tenh'eu guisado",a-46,Amor,Refrão; Cobras uníssonas,
c-34,34,urn:nabu:cantigas:34,O gram cuidad'e o afã sobejo,a-46,Amor,Mestria; Cobras singulares,
c-35,35,urn:nabu:cantigas:35,"Par Deus, senhor, mui mal me per matou,",a-46,Amor,Mestria; Cobras singulares (rima d uníssona); Finda,
c-36,36,urn:nabu:cantigas:36,Pero que mia senhor nom quer,a-46,Amor,Mestria; Cobras singulares,
c-37,37,urn:nabu:cantigas:37,Nom há home que m'entenda,a-46,Género incerto,Mestria; Cobras uníssonas; Palavra(s)-rima: (v. 7 de cada estrofe); mia fazenda,
c-38,38,urn:nabu:cantigas:38,Que cousiment'ora fez mia senhor,a-46,Amor,Refrão; Cobras singulares,
c-39,39,urn:nabu:cantigas:39,"Des quando me mandastes, mia senhor,",a-46,Amor,"Refrão; Cobras rima a singular, rima b uníssona; Palavra(s)-rima: (v. 2 de cada estrofe); rem",
