ID,URN,Passage_SHA256,Cantiga_ID,Line,Stanza,Number_Gap,Primary_Text
l-1-1,urn:nabu:cantigas:1:1,8ed9f5f1389f9192e3a4812d283fdce9d4c9596c40f6a5faa6aaf13015659e4d,c-1,1,1,,"Amor, des que m'a vós cheguei,"
l-1-2,urn:nabu:cantigas:1:2,62b587a167e6c3d7e3c59635e0c48220e4fb7224e4a350058aaff899234cd550,c-1,2,1,,"bem me posso de vós loar,"
l-1-3,urn:nabu:cantigas:1:3,b8047fc9d5f200e3ec5edcfbec1381e0c28bcd6f5b4f577742ca9be1201dc3fd,c-1,3,1,,"ca mui pouc'ant', a meu cuidar,"
l-1-4,urn:nabu:cantigas:1:4,5badc88c0dd8cd908b258320d8c7abd98ba9555a83e7f477dcb310ffa626e0f7,c-1,4,1,,valia; mais pois emmendei
l-1-5,urn:nabu:cantigas:1:5,77bda67f8773609e7e7bd18276e08a51657ae732cfa45d1c68d0688799c8acb2,c-1,5,2,,tam muit'em mim quanto m'ant'eu
l-1-6,urn:nabu:cantigas:1:6,0e6ec72c8e61e51c14a131716d40b3c97baade6732fb90383af044ba842f7bda,c-1,6,2,,"era de pobre coraçom,"
l-1-7,urn:nabu:cantigas:1:7,4f3392e9743b1598e17508efe880d9046918d39a917dfad284a2a7b071a067bb,c-1,7,2,,assi que nẽum bem entom
l-1-8,urn:nabu:cantigas:1:8,ce0de770f1758d4a6f2545d3be1acc35ea2c399ced7f7d462e631fd431b99a9c,c-1,8,2,,nom cuidava que era meu;
l-1-9,urn:nabu:cantigas:1:9,5d90d45e067f7ac0e0b6eca4cd0ef5641d1de543b75fd349c7531d2badd60b8c,c-1,9,3,,"e sol nom me preçavam rem,"
l-1-10,urn:nabu:cantigas:1:10,bf7cca9606db08c34d98ce2b1133dd724eb1ff316597d93680f674fd0cbc64b1,c-1,10,3,,ante me tinham tam em vil
l-1-11,urn:nabu:cantigas:1:11,20faf508d010d69813e107c4947cb855f912b8a1d61575f92510e39e8dfdbd4a,c-1,11,3,,"que, se de mi falavam mil,"
l-1-12,urn:nabu:cantigas:1:12,5d3ce613910a5610b7173691f26b058864c142b45fb2afc15e1b5f71411a3d07,c-1,12,3,,nunca deziam nẽum bem;
