ID,Language_ID,Lemma_ID,Lemma,Count
ak-ra-1-6364fa5d2c91,san,1,akāra,68
a-vatara-a-10-71966d04a52e,san,10,aṃśāvataraṇa,14
ka-atanu-1000-45ca0f8ae07a,san,1000,kaṇṭatanu,1
anapnas-10000-c34c4a3f24b2,san,10000,anapnas,1
sotpr-sa-100003-376819c0a983,san,100003,sotprāsa,1
sotsa-ga-100006-d71d6eca89f9,san,100006,sotsaṅga,1
sodaka-100013-052b357ced7e,san,100013,sodaka,6
sodakumbha-100014-e3d9a2a73692,san,100014,sodakumbha,3
sodadhila-100016-a1b3d669b1b3,san,100016,sodadhila,1
sodara-100019-b2874606d9f1,san,100019,sodara,6
sodara-100020-361de91febab,san,100020,sodara,49
sodar-100021-4fa20e15f25c,san,100021,sodarī,3
sodar-ya-100022-843fd1166124,san,100022,sodarīya,3
sodarya-100023-7c11a8cdb154,san,100023,sodarya,71
sodaryavat-100024-6f87044095c5,san,100024,sodaryavat,1
anabhipreta-10003-4f85adbba0bf,san,10003,anabhipreta,2
sodyoga-100033-54973082dbb5,san,100033,sodyoga,2
anabhibh-ta-10004-48b543704a1c,san,10004,anabhibhūta,6
sopak-ra-100041-8b8eb7396c09,san,100041,sopakāra,1
sopapattika-100055-d126d5c28939,san,100055,sopapattika,2
sopasarga-100064-657677c079ee,san,100064,sopasarga,1
sopasveda-100065-229cf413f8c6,san,100065,sopasveda,1
sop-ka-100070-87a5f8320623,san,100070,sopāka,1
sop-dhika-100074-2052e1c14181,san,100074,sopādhika,1
sop-na-100076-51ec2daeaa9c,san,100076,sopāna,97
sop-napa-kti-100079-ac7c7d3b7395,san,100079,sopānapaṅkti,2
sop-raya-100097-a2cbc5699e14,san,100097,sopāśraya,1
ka-adal-1001-a44dda90a550,san,1001,kaṇṭadalā,1
sobhya-100100-367f7207cb23,san,100100,sobhya,1
sobhya-100102-2e9077fa9321,san,100102,sobhya,1
sobhari-100104-3c2a857867fd,san,100104,sobhari,8
sobhar-yu-100105-45b474f90cc6,san,100105,sobharīyu,1
soma-100106-bd184729d15e,san,100106,soma,5621
som-100107-fe13011cdde9,san,100107,somā,9
soma-100109-f646056f0db7,san,100109,soma,1
soma-100110-ee361b115496,san,100110,soma,1
somakara-100112-d98e7d94f45e,san,100112,somakaraṇī,1
anabhil-a-10012-16a2380c2128,san,10012,anabhilāṣa,2
somak-rti-100121-1d0e23f8ce98,san,100121,somakīrti,2
somakraya-100126-b874af3ea881,san,100126,somakrayaṇī,50
somak-r-100129-393bbdc15ea2,san,100129,somakṣīrā,2
anabhil-in-10013-bdeda7c24ce4,san,10013,anabhilāṣin,1
somak-r-100130-318fea8ac4aa,san,100130,somakṣīrī,1
somagiri-100134-b9ecb6c4df47,san,100134,somagiri,3
anabhiv-duka-10014-9adcfa23c0c6,san,10014,anabhivāduka,2
