ID,Sign_Name,OID,Codepoints,Values,Lists,CDLI_Readings,Count_cdli,Count_oracc,Count_tlhdig,Source
card-o0000087,A,o0000087,𒀀,ʾu₄;a;aia₂;aya₂;barₓ;buniŋₓ;burₓ;dur₅;duru₅;e₄;ea;ebir₃;emₓ;epir₃;eš₁₀;ŋa₁₀;ia₁₀;id₅?;me₅;mu₁₄;sedₓ;šegₓ;ṭur₅;ya₁₀,LAK795;ASY311;ABZL470;BAU416;ELLES393;GCSL324;KWU901;MZL839;PTACE328;RSP051;SYA274,"#<data Nabu::CdliSignReadings::Reading reading=""a"", preferred=true, meaning=""n. water"">;#<data Nabu::CdliSignReadings::Reading reading=""duru₅"", preferred=true, meaning=""adj. wet, moist"">;#<data Nabu::CdliSignReadings::Reading reading=""ix"", preferred=true, meaning=""n. waterway"">;#<data Nabu::CdliSignReadings::Reading reading=""šegx"", preferred=true, meaning=""n. rain"">",83522,71462,15391,osl
card-o0000656,|A.A|,o0000656,𒀀𒀀,ai;aia;aya;aye;ayi;ayu;ayya;ayye;ayyi;ayyu;iya;iyi;iyu;iyya;iyyi;iyyu;yaₓ,ASY315;SYA277,,2,133,5,osl
card-o0000654,|A.A.A|,o0000654,𒀀𒀀𒀀,ayayaₓ,,,,,,osl
card-o0187959,|A.AB.BA|,o0187959,𒀀𒀊𒁀,,,,,,,osl
card-o0000655,|A.AN|,o0000655,𒀀𒀭,a₄;am₃;emₓ;še₇;šeg₃;šeŋ₃;šemₓ,ASY312;KWU902;RSP053;SYA275,"#<data Nabu::CdliSignReadings::Reading reading=""am₃"", preferred=true, meaning=""v. copula 3rd sg."">;#<data Nabu::CdliSignReadings::Reading reading=""šeg₃"", preferred=true, meaning=nil>",6737,5971,,osl
card-o0221926,|A.BAR.BAHAR₂|,o0221926,𒀀𒁇𒁃,baharₓ,,,,,,osl
card-o0027774,|A.BARA₂|,o0027774,𒀀𒁈,idₓ,,,,,,osl
card-o0000658,|A.BI|,o0000658,𒀀𒁉,maštabaₓ,,,,,,osl
card-o0000662,|A.DU|,o0000662,𒀀𒁺,a-ra₂;tuše;tuššuru,,,1,,,osl
card-o0018529,|(A.DU)&(A.DU)|,o0018529,𒀀X𒁺,,,,,,,osl
card-o0000664,|A.EDIN.LAL|,o0000664,𒀀𒂔𒇲,ummu₃;ummud?,,"#<data Nabu::CdliSignReadings::Reading reading=""ummu₃"", preferred=true, meaning=""n. waterskin"">",171,149,,osl
card-o0000668,|A.GAN₂@t|,o0000668,,,,,,,,osl
card-o0000669,|A.GAR₃|,o0000669,𒀀𒃼,a-gar₃;ugar,,,,1,,osl
card-o0000670,|A.GISAL.GAD.GAR.A.SI|,o0000670,𒀀𒄐𒃰𒃻𒀀𒋛,addirₓ,,,,,,osl
card-o0000671,|A.GISAL.PAD.SI.A|,o0000671,𒀀𒄐𒉻𒋛𒀀,addirₓ,,,,,,osl
card-o0027762,|A.GISAL.SI.ELLES214|,o0027762,𒀀𒄐𒋛X,addirₓ,,,,,,osl
card-o0000683,|A.HA|,o0000683,𒀀𒄩,kuar₂;kuara₂;sahₓ;tuba₂;urumₓ;xriₓ;zahₓ,,"#<data Nabu::CdliSignReadings::Reading reading=""kuara₂"", preferred=true, meaning=""gn. Kuara"">",43,38,,osl
card-o0000675,|A.HA.A|,o0000675,𒀀𒄩𒀀,sahₓ;zahₓ,,,,,,osl
card-o0000681,|A.HA.TAR.DU|,o0000681,𒀀𒄩𒋻𒁺,girim₃;girima₃;girimma₃;girin₂;nun₂,,"#<data Nabu::CdliSignReadings::Reading reading=""girim₃"", preferred=true, meaning=nil>",14,24,,osl
card-o0000684,|A.HU.SI|,o0000684,𒀀𒄷𒋛,liq₃,,,,,,osl
card-o0000685,|A.IGI|,o0000685,𒀀𒅆,er₂;era₂;eseš;esiš₃;eš₉;ir₂;ira₂;isiš₂;šeₓ;šešₓ,ASY313;KWU903;RSP052;SYA276,"#<data Nabu::CdliSignReadings::Reading reading=""er₂"", preferred=true, meaning=""n. tears"">",415,519,,osl
card-o0000687,|A.KA|,o0000687,𒀀𒅗,uga₂;ugu₂,,"#<data Nabu::CdliSignReadings::Reading reading=""ugu₂"", preferred=true, meaning=""n. top, forehead; tt. debits (said of an account)"">",1048,1077,,osl
