ID,OID,Sign_Name,List,Number,Source
c-o0000087-LAK795,o0000087,A,LAK,795,osl
c-o0000087-ASY311,o0000087,A,ASY,311,osl
c-o0000087-ABZL470,o0000087,A,ABZL,470,osl
c-o0000087-BAU416,o0000087,A,BAU,416,osl
c-o0000087-ELLES393,o0000087,A,ELLES,393,osl
c-o0000087-GCSL324,o0000087,A,GCSL,324,osl
c-o0000087-KWU901,o0000087,A,KWU,901,osl
c-o0000087-MZL839,o0000087,A,MZL,839,osl
c-o0000087-PTACE328,o0000087,A,PTACE,328,osl
c-o0000087-RSP051,o0000087,A,RSP,051,osl
c-o0000087-SYA274,o0000087,A,SYA,274,osl
c-o0000656-ASY315,o0000656,|A.A|,ASY,315,osl
c-o0000656-SYA277,o0000656,|A.A|,SYA,277,osl
c-o0000655-ASY312,o0000655,|A.AN|,ASY,312,osl
c-o0000655-KWU902,o0000655,|A.AN|,KWU,902,osl
c-o0000655-RSP053,o0000655,|A.AN|,RSP,053,osl
c-o0000655-SYA275,o0000655,|A.AN|,SYA,275,osl
c-o0000124-LAK232,o0000124,BU,LAK,232,osl
c-o0000124-ASY213,o0000124,BU,ASY,213,osl
c-o0000124-ABZL265,o0000124,BU,ABZL,265,osl
c-o0000124-BAU148,o0000124,BU,BAU,148,osl
c-o0000124-ELLES131,o0000124,BU,ELLES,131,osl
c-o0000124-GCSL115,o0000124,BU,GCSL,115,osl
c-o0000124-HZL339,o0000124,BU,HZL,339,osl
c-o0000124-KWU385,o0000124,BU,KWU,385,osl
c-o0000124-MZL580,o0000124,BU,MZL,580,osl
c-o0000124-PTACE123,o0000124,BU,PTACE,123,osl
c-o0000124-RSP335,o0000124,BU,RSP,335,osl
c-o0000124-SLLHA371,o0000124,BU,SLLHA,371,osl
c-o0000685-ASY313,o0000685,|A.IGI|,ASY,313,osl
c-o0000685-KWU903,o0000685,|A.IGI|,KWU,903,osl
c-o0000685-RSP052,o0000685,|A.IGI|,RSP,052,osl
c-o0000685-SYA276,o0000685,|A.IGI|,SYA,276,osl
c-o0000697-ASY314,o0000697,|A.LAGAB×HAL|,ASY,314,osl
c-o0000697-KWU904,o0000697,|A.LAGAB×HAL|,KWU,904,osl
c-o0000697-RSP054,o0000697,|A.LAGAB×HAL|,RSP,054,osl
c-o0031749-PTACE252,o0031749,|GISAL.A|,PTACE,252,osl
c-o0000531-LAK293,o0000531,SU,LAK,293,osl
c-o0000531-ASY006,o0000531,SU,ASY,006,osl
c-o0000531-BAU226,o0000531,SU,BAU,226,osl
c-o0000531-ELLES172,o0000531,SU,ELLES,172,osl
c-o0000531-GCSL137,o0000531,SU,GCSL,137,osl
c-o0000531-MZL016,o0000531,SU,MZL,016,osl
c-o0000531-PTACE120,o0000531,SU,PTACE,120,osl
c-o0000531-RSP143,o0000531,SU,RSP,143,osl
c-o0000723-ELLES123,o0000723,|A.TU.GABA.LIŠ|,ELLES,123,osl
c-o0000723-RSP055,o0000723,|A.TU.GABA.LIŠ|,RSP,055,osl
c-o0000105-LAK212,o0000105,ASAL₂~a,LAK,212,osl
c-o0000105-BAU134,o0000105,ASAL₂~a,BAU,134,osl
c-o0000105-PTACE049,o0000105,ASAL₂~a,PTACE,049,osl
c-o0000845-MZL845,o0000845,|A×A|,MZL,845,osl
c-o0000845-SLLHA583,o0000845,|A×A|,SLLHA,583,osl
c-o0027203-BAU417a,o0027203,|A×AN|,BAU,417a,osl
c-o0000846-LAK800,o0000846,|A×BAD|,LAK,800,osl
c-o0000846-MZL840,o0000846,|A×BAD|,MZL,840,osl
c-o0000846-SLLHA580,o0000846,|A×BAD|,SLLHA,580,osl
c-o0000848-LAK796,o0000848,|A×HA|,LAK,796,osl
c-o0000848-ABZL471,o0000848,|A×HA|,ABZL,471,osl
c-o0000848-ELLES394,o0000848,|A×HA|,ELLES,394,osl
c-o0000848-KWU907,o0000848,|A×HA|,KWU,907,osl
c-o0000848-MZL846,o0000848,|A×HA|,MZL,846,osl
c-o0000848-PTACE329,o0000848,|A×HA|,PTACE,329,osl
c-o0000848-RSP183-a,o0000848,|A×HA|,RSP,183^a,osl
c-o0000849-MZL844,o0000849,|A×IGI|,MZL,844,osl
c-o0000849-SLLHA581,o0000849,|A×IGI|,SLLHA,581,osl
c-o0000850-MZL843,o0000850,|A×LAGAR@g|,MZL,843,osl
c-o0000850-SLLHA582,o0000850,|A×LAGAR@g|,SLLHA,582,osl
c-o0000851-KWU905,o0000851,|A×MUŠ|,KWU,905,osl
c-o0000851-MZL842,o0000851,|A×MUŠ|,MZL,842,osl
c-o0000851-SLLHA580a,o0000851,|A×MUŠ|,SLLHA,580a,osl
c-o0000852-MZL841,o0000852,|A×SAG|,MZL,841,osl
c-o0000852-SLLHA585,o0000852,|A×SAG|,SLLHA,585,osl
c-o0000112-LAK144,o0000112,A₂,LAK,144,osl
c-o0000112-ASY187,o0000112,A₂,ASY,187,osl
c-o0000112-ABZL230,o0000112,A₂,ABZL,230,osl
c-o0000112-BAU102,o0000112,A₂,BAU,102,osl
c-o0000112-ELLES078,o0000112,A₂,ELLES,078,osl
c-o0000112-GCSL088,o0000112,A₂,GCSL,088,osl
c-o0000112-HZL215,o0000112,A₂,HZL,215,osl
c-o0000112-KWU326,o0000112,A₂,KWU,326,osl
c-o0000112-MZL560,o0000112,A₂,MZL,560,osl
c-o0000112-PTACE089,o0000112,A₂,PTACE,089,osl
c-o0000112-RSP420,o0000112,A₂,RSP,420,osl
c-o0000112-SLLHA334,o0000112,A₂,SLLHA,334,osl
c-o0000112-SYA162,o0000112,A₂,SYA,162,osl
c-o0000132-LAK143,o0000132,DA,LAK,143,osl
c-o0000132-ASY191,o0000132,DA,ASY,191,osl
c-o0000132-BAU097,o0000132,DA,BAU,097,osl
c-o0000132-BAU101,o0000132,DA,BAU,101,osl
c-o0000132-ELLES077,o0000132,DA,ELLES,077,osl
c-o0000132-GCSL087,o0000132,DA,GCSL,087,osl
c-o0000132-PTACE088,o0000132,DA,PTACE,088,osl
c-o0000132-RSP419,o0000132,DA,RSP,419,osl
c-o0038412-ASY187a,o0038412,|A₂.HU|,ASY,187a,osl
c-o0000088-LAK536,o0000088,AB,LAK,536,osl
c-o0000088-ASY093,o0000088,AB,ASY,093,osl
c-o0000088-ABZL125,o0000088,AB,ABZL,125,osl
c-o0000088-BAU333,o0000088,AB,BAU,333,osl
c-o0000088-ELLES285,o0000088,AB,ELLES,285,osl
c-o0000088-GCSL251,o0000088,AB,GCSL,251,osl
c-o0000088-HZL097,o0000088,AB,HZL,097,osl
c-o0000088-KWU821,o0000088,AB,KWU,821,osl
c-o0000088-MZL223,o0000088,AB,MZL,223,osl
c-o0000088-PTACE240,o0000088,AB,PTACE,240,osl
c-o0000088-RSP223,o0000088,AB,RSP,223,osl
c-o0000088-SLLHA128,o0000088,AB,SLLHA,128,osl
c-o0000088-SYA081,o0000088,AB,SYA,081,osl
c-o0000744-ABZL130,o0000744,|AB×A|,ABZL,130,osl
c-o0000745-LAK540,o0000745,|AB×AŠ₂|,LAK,540,osl
c-o0000745-ABZL127,o0000745,|AB×AŠ₂|,ABZL,127,osl
c-o0000745-MZL227,o0000745,|AB×AŠ₂|,MZL,227,osl
c-o0000745-PTACE241,o0000745,|AB×AŠ₂|,PTACE,241,osl
c-o0000745-RSP225,o0000745,|AB×AŠ₂|,RSP,225,osl
c-o0000745-SLLHA200an,o0000745,|AB×AŠ₂|,SLLHA,200an,osl
c-o0000753-LAK541,o0000753,|AB×NUN@t|,LAK,541,osl
c-o0000746-MZL235,o0000746,|AB×DUN₃@g|,MZL,235,osl
c-o0000746-SLLHA199,o0000746,|AB×DUN₃@g|,SLLHA,199,osl
c-o0000747-ABZL128,o0000747,|AB×GAL|,ABZL,128,osl
c-o0000747-MZL228,o0000747,|AB×GAL|,MZL,228,osl
c-o0000747-SLLHA194,o0000747,|AB×GAL|,SLLHA,194,osl
c-o0000748-MZL225,o0000748,|AB×GAN₂@t|,MZL,225,osl
c-o0000748-SLLHA198,o0000748,|AB×GAN₂@t|,SLLHA,198,osl
c-o0000749-LAK543,o0000749,|AB×HA|,LAK,543,osl
c-o0000749-ABZL131,o0000749,|AB×HA|,ABZL,131,osl
c-o0000749-BAU334bis,o0000749,|AB×HA|,BAU,334bis,osl
c-o0000749-GCSL253,o0000749,|AB×HA|,GCSL,253,osl
c-o0000749-KWU829,o0000749,|AB×HA|,KWU,829,osl
c-o0000749-MZL236,o0000749,|AB×HA|,MZL,236,osl
c-o0000749-RSP226,o0000749,|AB×HA|,RSP,226,osl
c-o0000749-SLLHA200v,o0000749,|AB×HA|,SLLHA,200v,osl
c-o0000750-MZL229,o0000750,|AB×IGI@g|,MZL,229,osl
c-o0000750-SLLHA196,o0000750,|AB×IGI@g|,SLLHA,196,osl
c-o0000751-MZL237,o0000751,|AB×IMIN|,MZL,237,osl
c-o0000751-SLLHA200d,o0000751,|AB×IMIN|,SLLHA,200d,osl
c-o0000752-MZL234,o0000752,|AB×LAGAB|,MZL,234,osl
c-o0000752-SLLHA198a,o0000752,|AB×LAGAB|,SLLHA,198a,osl
c-o0000754-MZL224,o0000754,|AB×NUN|,MZL,224,osl
