ID,Sign_Name,OID,Parent_OID,Aka,Deprecated,Codepoints,PUA,Glyph,Unicode_Name,Source
s-o0000087,A,o0000087,,,false,U+12000,,𒀀,CUNEIFORM SIGN A,osl
s-o0270203,LAK797,o0270203,o0000087,,false,,,,,osl
s-o0000656,|A.A|,o0000656,,,false,U+12000 U+12000,,𒀀𒀀,,osl
s-o0000654,|A.A.A|,o0000654,,,false,U+12000 U+12000 U+12000,,𒀀𒀀𒀀,,osl
s-o0187959,|A.AB.BA|,o0187959,,,false,U+12000 U+1200A U+12040,,𒀀𒀊𒁀,,osl
s-o0000655,|A.AN|,o0000655,,,false,U+12000 U+1202D,,𒀀𒀭,,osl
s-o0221926,|A.BAR.BAHAR₂|,o0221926,,,false,U+12000 U+12047 U+12043,,𒀀𒁇𒁃,,osl
s-o0027774,|A.BARA₂|,o0027774,,|A.BARAG|,false,U+12000 U+12048,,𒀀𒁈,,osl
s-o0000658,|A.BI|,o0000658,,,false,U+12000 U+12049,,𒀀𒁉,,osl
s-o0000662,|A.DU|,o0000662,,,false,U+12000 U+1207A,,𒀀𒁺,,osl
s-o0018529,|(A.DU)&(A.DU)|,o0018529,,,false,U+12000 X U+1207A,,𒀀X𒁺,,osl
s-o0000664,|A.EDIN.LAL|,o0000664,,,false,U+12000 U+12094 U+121F2,,𒀀𒂔𒇲,,osl
s-o0000666,|A.EDIN|,o0000666,o0000664,,false,U+12000 U+12094,,𒀀𒂔,,osl
s-o0000663,|A.EDIN.A.LAL|,o0000663,o0000664,,false,U+12000 U+12094 U+12000 U+121F2,,𒀀𒂔𒀀𒇲,,osl
s-o0000665,|A.EDIN.NA|,o0000665,o0000664,,false,U+12000 U+12094 U+1223E,,𒀀𒂔𒈾,,osl
s-o0000729,|A.U.EDIN.LAL|,o0000729,o0000664,,false,U+12000 U+1230B U+12094 U+121F2,,𒀀𒌋𒂔𒇲,,osl
s-o0001045,|EDIN.A|,o0001045,o0000664,,false,U+12094 U+12000,,𒂔𒀀,,osl
s-o0001044,|EDIN.A.LAL|,o0001044,o0000664,,false,U+12094 U+12000 U+121F2,,𒂔𒀀𒇲,,osl
s-o0152715,|EDIN.LAL|,o0152715,o0000664,,false,U+12094 U+121F2,,𒂔𒇲,,osl
s-o0001046,|EDIN.LAL.A|,o0001046,o0000664,,false,U+12094 U+121F2 U+12000,,𒂔𒇲𒀀,,osl
s-o0031627,|EDIN.NA.A.LAL|,o0031627,o0000664,,false,U+12094 U+1223E U+12000 U+121F2,,𒂔𒈾𒀀𒇲,,osl
s-o0000668,|A.GAN₂@t|,o0000668,,,true,,,,,osl
s-o0000669,|A.GAR₃|,o0000669,,,false,U+12000 U+120FC,,𒀀𒃼,,osl
s-o0000670,|A.GISAL.GAD.GAR.A.SI|,o0000670,,|A.GISAL.GADA.GAR.A.SI|,false,U+12000 U+12110 U+120F0 U+120FB U+12000 U+122DB,,𒀀𒄐𒃰𒃻𒀀𒋛,,osl
s-o0038275,|A.LAK648×A.GAD.GAR.A.SI|,o0038275,o0000670,,false,U+12000 X U+120F0 U+120FB U+12000 U+122DB,,𒀀X𒃰𒃻𒀀𒋛,,osl
s-o0000671,|A.GISAL.PAD.SI.A|,o0000671,,,false,U+12000 U+12110 U+1227B U+122DB U+12000,,𒀀𒄐𒉻𒋛𒀀,,osl
s-o0027762,|A.GISAL.SI.ELLES214|,o0027762,,,false,U+12000 U+12110 U+122DB X,,𒀀𒄐𒋛X,,osl
s-o0000683,|A.HA|,o0000683,,,false,U+12000 U+12129,,𒀀𒄩,,osl
s-o0000675,|A.HA.A|,o0000675,,,false,U+12000 U+12129 U+12000,,𒀀𒄩𒀀,,osl
s-o0000681,|A.HA.TAR.DU|,o0000681,,,false,U+12000 U+12129 U+122FB U+1207A,,𒀀𒄩𒋻𒁺,,osl
s-o0000661,|A.BU|,o0000661,o0000681,,false,U+12000 U+1204D,,𒀀𒁍,,osl
