ID,Value,Language_Qualifier,Sign_Name,OID,Codepoints,Glyph,Deprecated,Ambiguous,Source
v-acfab1ab34a6,ʾu₄,,A,o0000087,U+12000,𒀀,false,false,osl
v-c951d5fda005,a,,A,o0000087,U+12000,𒀀,false,false,osl
v-48828759b3e0,aia₂,,A,o0000087,U+12000,𒀀,false,false,osl
v-ecc336f069fc,aya₂,,A,o0000087,U+12000,𒀀,false,false,osl
v-67a70a4792e6,barₓ,,A,o0000087,U+12000,𒀀,false,true,osl
v-cf0cd7e94af6,buniŋₓ,,A,o0000087,U+12000,𒀀,false,true,osl
v-94c22da097b7,burₓ,,A,o0000087,U+12000,𒀀,false,true,osl
v-1a7d25525c21,dur₅,,A,o0000087,U+12000,𒀀,false,false,osl
v-f419678ab7eb,duru₅,,A,o0000087,U+12000,𒀀,false,false,osl
v-1a1be3f1964b,e₄,,A,o0000087,U+12000,𒀀,false,false,osl
v-9e5c5f3e7a9d,ea,,A,o0000087,U+12000,𒀀,false,false,osl
v-79214006c204,ebir₃,,A,o0000087,U+12000,𒀀,false,false,osl
v-d24f9fc94f29,emₓ,,A,o0000087,U+12000,𒀀,false,true,osl
v-9e06cbcc6dc0,epir₃,,A,o0000087,U+12000,𒀀,false,false,osl
v-0eef8caa5509,eš₁₀,,A,o0000087,U+12000,𒀀,false,false,osl
v-890ebe9d4142,ŋa₁₀,,A,o0000087,U+12000,𒀀,false,false,osl
v-6bf11d683f48,ia₁₀,,A,o0000087,U+12000,𒀀,false,false,osl
v-c99ba22e9a3c,id₅?,,A,o0000087,U+12000,𒀀,false,false,osl
v-0073f806395e,me₅,,A,o0000087,U+12000,𒀀,false,false,osl
v-6a2cf42d9dcd,mu₁₄,,A,o0000087,U+12000,𒀀,false,false,osl
v-f71902e99405,sedₓ,,A,o0000087,U+12000,𒀀,false,true,osl
v-aa25cb34707e,šegₓ,,A,o0000087,U+12000,𒀀,false,true,osl
v-b4b62ddc63ba,ṭur₅,,A,o0000087,U+12000,𒀀,false,false,osl
v-4c39278e5628,ya₁₀,,A,o0000087,U+12000,𒀀,false,false,osl
v-9b4bc197700c,ai,,|A.A|,o0000656,U+12000 U+12000,𒀀𒀀,false,false,osl
v-b21bf1e44471,aia,,|A.A|,o0000656,U+12000 U+12000,𒀀𒀀,false,false,osl
v-65c07a76fe97,aya,,|A.A|,o0000656,U+12000 U+12000,𒀀𒀀,false,false,osl
v-7cdc7a9b3e08,aye,,|A.A|,o0000656,U+12000 U+12000,𒀀𒀀,false,false,osl
v-ef61155f294b,ayi,,|A.A|,o0000656,U+12000 U+12000,𒀀𒀀,false,false,osl
