ID,URN,Passage_SHA256,ACTib_Volume,ACTib_Page,ACTib_Line,Status,Distance
a-toh1-17-4-1a-1,urn:nabu:derge-kangyur:toh1-17:4.1a.1,d9a4269e9b036b6954fb33672079bf3a3eae6c873183e36369d21f602a6d7a3d,I1KG9130,1,1,missing,
a-toh1-17-4-1b-1,urn:nabu:derge-kangyur:toh1-17:4.1b.1,57fb2358ea4af6d91f9609d67f9ffe3cfc1b00dc16b8a36ed46130de8465c18d,I1KG9130,2,1,exact,
a-toh1-17-4-1b-2,urn:nabu:derge-kangyur:toh1-17:4.1b.2,11ad62f659b80df4af5b58060489bbf74638456aff21ee0e41598360e7b986c9,I1KG9130,2,2,exact,
a-toh1-17-4-1b-3,urn:nabu:derge-kangyur:toh1-17:4.1b.3,e19f38818c1191d250a03f07d7fb86bfd61abfdf4438ecd3d34248142893de1f,I1KG9130,2,3,exact,
a-toh1-17-4-1b-4,urn:nabu:derge-kangyur:toh1-17:4.1b.4,5ca25f94b76d7e1c1539c31d10c878ccf1d42ac9d719835a079bf0bfac5993ba,I1KG9130,2,4,exact,
a-toh1-17-4-1b-5,urn:nabu:derge-kangyur:toh1-17:4.1b.5,ac63dcc9d50e3a8d38c206ce980f41aed42f7e8879397d3a4c7b389401a476a9,I1KG9130,2,5,exact,
a-toh1-17-4-2a-1,urn:nabu:derge-kangyur:toh1-17:4.2a.1,1294d91eddc834122a389d6e58f1a11b8b3211e6798cbb46947242f86db3210b,I1KG9130,3,1,exact,
a-toh1-17-4-2a-2,urn:nabu:derge-kangyur:toh1-17:4.2a.2,35f3a542046d24b1e6ac3609006ccb12d5eab9ac42187a18294d8bd7d55e02f2,I1KG9130,3,2,exact,
a-toh1-17-4-2a-3,urn:nabu:derge-kangyur:toh1-17:4.2a.3,3102d1ef572c433b7839fff1a9f5c46f945da0703ef92bde1636909458b1be5c,I1KG9130,3,3,exact,
a-toh1-17-4-2a-4,urn:nabu:derge-kangyur:toh1-17:4.2a.4,c94362505e593563c4dd89399ff0f50d2844104ac9ed1eece8aa1feb19ddc01c,I1KG9130,3,4,exact,
a-toh1-17-4-2a-5,urn:nabu:derge-kangyur:toh1-17:4.2a.5,14e118441e22a4453c94c5dc1182d14b523480f892a6ab1b0767c48f0eec59fd,I1KG9130,3,5,exact,
a-toh1-17-4-2a-6,urn:nabu:derge-kangyur:toh1-17:4.2a.6,8a2d4d7c39af130176deec34367d9bcfc74f4fd35ae769b4880318dba55e738b,I1KG9130,3,6,exact,
a-toh1-17-4-2b-1,urn:nabu:derge-kangyur:toh1-17:4.2b.1,859305b5a40e0a38107a506152e465f404edfd2848f2de0aef5ef2737ce39fdf,I1KG9130,4,1,exact,
a-toh1-17-4-2b-2,urn:nabu:derge-kangyur:toh1-17:4.2b.2,77e358d1fe1bb818f57521b71d6569ee60890399aa8fd0b7dc1416aa3963cb95,I1KG9130,4,2,exact,
a-toh1-17-4-2b-3,urn:nabu:derge-kangyur:toh1-17:4.2b.3,4627364444e57cbc3f21adfbbd8886f63396b46bf4c7ffb5a63cf59ab2042a49,I1KG9130,4,3,exact,
a-toh1-17-4-2b-4,urn:nabu:derge-kangyur:toh1-17:4.2b.4,50acbc51ecd6f1af7a296b08d7522a0e7288d366b8631fc9898e337ff8002fc7,I1KG9130,4,4,exact,
a-toh1-17-4-2b-5,urn:nabu:derge-kangyur:toh1-17:4.2b.5,56bd9abe0dae7fac75aa28b6a7602d9196895e8c468932c27c933b7a365ecfdb,I1KG9130,4,5,exact,
a-toh1-17-4-2b-6,urn:nabu:derge-kangyur:toh1-17:4.2b.6,7746cad07b5f5766b38fd7bb686245d409c27018876aff10fb5d20ae0fe3e0c0,I1KG9130,4,6,exact,
a-toh1-17-4-2b-7,urn:nabu:derge-kangyur:toh1-17:4.2b.7,14f659cb8a11a0270a452a5c109d39794a4857efaa9fde3f28f6efc01a1ef1a4,I1KG9130,4,7,exact,
a-toh1-17-4-3a-1,urn:nabu:derge-kangyur:toh1-17:4.3a.1,f370c1be7c17c8f73441520f6ace1ab8eaeae7a424178c761913ebca1ce3483e,I1KG9130,5,1,exact,
a-toh1-17-4-3a-2,urn:nabu:derge-kangyur:toh1-17:4.3a.2,9b6a7cebcc17faeb55c4830997a01d2555c44a158ff82d525843552d7ce32f21,I1KG9130,5,2,exact,
a-toh1-17-4-3a-3,urn:nabu:derge-kangyur:toh1-17:4.3a.3,10b49074ab96860e82d008cae8619ced798ed68a8a26aa37ab37b26989bca141,I1KG9130,5,3,exact,
a-toh1-17-4-3a-4,urn:nabu:derge-kangyur:toh1-17:4.3a.4,7a7513dedfe50edf9f7485f2edc133c6d49f2c84a5d535af2c5a736cd72a986e,I1KG9130,5,4,exact,
