ID,URN,Passage_SHA256,ACTib_Volume,ACTib_Page,ACTib_Line,Status,Distance,Nabu_Text,ACTib_Text
d-toh1-1-2b-1,urn:nabu:derge-kangyur:toh1-1:2b.1,f9f74e3c264b55ea4f0a915c6aa9f5cd42a58c75fc8eb8241b84d031c2850612,I1KG9127,4,1,near,1,ཡུལ་ཨང་ག་ཙམ་པ་མ་གཏོགས་པ་བཅོམ་ནས་ཕྱིར་ལྡོག་པར་བྱེད་དོ།།དེ་ནས་དུས་གཞན་ཞིག་ན་ཨང་གའི་རྒྱལ་པོ་དཔུང་དང་མཐུ་ཆེ་བར་གྱུར་ནས།དེས་དཔུང་གི་ཚོགས་ཡན་ལག་བཞི་བ་གླང་པོ་ཆེ་པའི་ཚོགས་དང་།རྟ་པའི་ཚོགས་དང་།ཤིང་རྟ་པའི་ཚོགས་དང་།དཔུང་,ཡུལ་ཨང་ག་ཙམ་པ་མ་གཏོགས་པ་བཅོམ་ནས་ཕྱིར་ལྡོག་པར་བྱེད་དོ།།དེ་ནས་དུས་གཞན་ཞིག་ན་ཨང་གའི་རྒྱལ་པོ་དཔུང་དང་མཐུ་ཆེ་བར་གྱུར་ནས།དེས་དཔུང་གི་ཚོགས་ཡན་ལག་བཞི་པ་གླང་པོ་ཆེ་པའི་ཚོགས་དང་།རྟ་པའི་ཚོགས་དང་།ཤིང་རྟ་པའི་ཚོགས་དང་།དཔུང་
d-toh1-1-4b-2,urn:nabu:derge-kangyur:toh1-1:4b.2,0fa0b2de1747c503d6833581dea4f0176497b83d44e8e51fa7f607ee390bf874,I1KG9127,8,2,near,1,པོའི་བུ་ལྔ་བརྒྱ་པོ་དེ་དག་ཀྱང་བཟོའི་གནས་དང་།ལས་ཀྱི་གནས་དག་ལ་བྱང་བར་གྱུར་ཏོ།།དེ་ཕས་བཟོ་སྦྱང་བ་བཅྭ་བརྒྱད་པོ་དག་ལ་བཅུག་ནས་དེའི་མིང་བཟོ་སྦྱངས་གཟུགས་ཅན་སྙིང་པོ།།བཟོ་སྦྱངས་གཟུགས་ཅན་སྙིང་པོ་ཞེས་བྱ་བར་གྱུར་ཏོ།།དེ་ནས་དུས་གཞན་,པོའི་བུ་ལྔ་བརྒྱ་པོ་དེ་དག་ཀྱང་བཟོའི་གནས་དང་།ལས་ཀྱི་གནས་དག་ལ་བྱང་བར་གྱུར་ཏོ།།དེ་ཕས་བཟོ་སྦྱང་བ་བཅྭ་བརྒྱད་པོ་དག་ལ་བཅུག་ནས་དེའི་མིང་བཟོ་སྦྱངས་གཟུགས་ཅན་སྙིང་པོ།བཟོ་སྦྱངས་གཟུགས་ཅན་སྙིང་པོ་ཞེས་བྱ་བར་གྱུར་ཏོ།།དེ་ནས་དུས་གཞན་
d-toh1-1-5b-7,urn:nabu:derge-kangyur:toh1-1:5b.7,f75c2e94b9a5babf93dfdef21849afb7ca23cf89067ada6ff6b3347fe2d7d33b,I1KG9127,10,7,near,1,གཞོན་ནུ་ཁྱོད་ཀྱི་གནས་སྐབས་གང་ལགས་པ་དེ་བདག་ཅག་གི་ཡང་ལགས་སོ།།དེས་ཚིགས་སུ་བཅད་པ་སྨྲས་པ།མི་གང་ལ་ནི་ཁྱིམ་དཔལ་གནས།།དེ་ནི་ཀུན་གྱིས་ཡོངས་བསྲུང་བྱ།།དེ་ཉམས་ན་ནི་ཀུན་ཉམས་ཏེ།།ལྟེ་བ་ཆག་པས་རྩིབས་རྣམས་བཞིན།།ད་ཁྱེད་,གཞོན་ནུ་ཁྱོད་ཀྱི་གནས་སྐབས་གང་ལགས་པ་དེ་བདག་ཅག་གི་ཡང་ལགས་སོ།།དེས་ཚིགས་སུ་བཅད་པ་སྨྲས་པ།མི་གང་ལ་ནི་ཁྱིམ་དཔལ་གནས།།དེ་ནི་ཀུན་གྱིས་ཡོངས་བསྲུང་བྱ།།དེ་ཉམས་ན་ནི་ཀུན་ཉམས་ཏེ།ལྟེ་བ་ཆག་པས་རྩིབས་རྣམས་བཞིན།།ད་ཁྱེད་
d-toh1-1-7a-7,urn:nabu:derge-kangyur:toh1-1:7a.7,fe34090a24be94d54e177dd85f9de346211b5ede53766f0f38e9e037982e1d0b,I1KG9127,13,7,near,3,སའི་བུ་དག།ཤན་དི་ལིའི་བུ་དག།བ་ར་དྭ་ཛའི་བུ་དག།ལྔ་པའི་བུ་དག།ཉེ་ལྔའི་བུ་དག།ཇེ་ཁྱེད་ཅག་ལས་གང་ནི་ཡུལ་ག་ལས་འོངས་པ་དྲི་བར་བྱའོ།།དེ་ན་བྲམ་ཟེའི་ཁྱེའུ་གཅིག་གིས་སྨྲས་པ།ཁོ་བོ་ནི་ཡུལ་ཤར་ནས་སོ།།གཞན་ཞིག་གིས་སྨྲས་པ།ཁོ་,སའི་བུ་དག།ཤན་དི་ལིའི་བུ་དག།བ་ར་དྭ་ཛའི་བུ་དག།ལྔ་པའི་བུ་དག།ཉེ་ལྔའི་བུ་དག།ཇེ་ཁྱེད་ཅག་ལས་གང་ནི་ཡུལ་ག་ལས་འོངས་པ་དྲི་བར་ོ།།དེ་ན་བྲམ་ཟེའི་ཁྱེའུ་གཅིག་གིས་སྨྲས་པ།ཁོ་བོ་ནི་ཡུལ་ཤར་ནས་སོ།།གཞན་ཞིག་གིས་སྨྲས་པ།ཁོ་
d-toh1-1-21b-4,urn:nabu:derge-kangyur:toh1-1:21b.4,b6a5dd5f01850fa7cc1b383421def92f5b1f8e48e000c737a91a01d6ae699730,I1KG9127,42,4,partial,,ལྷན་ཅིག་གནས་པར་བགྱི་འཚལ་ལོ།།ཁྱོད་ཀྱིས་ཇི་སྲིད་འཚོའི་བར་དུ་གཞན་གྱིས་བྱིན་པས་འཚོ་བར་བགྱི་འཚལ་ལོ།།ཁྱོད་ཀྱིས་ཇི་སྲིད་འཚོའི་བར་དུ་མིའི་འདོད་པ་དག་ལས་དབེན་པར་བགྱི་འཚལ་ལོ།།ཁྱོད་ཀྱིས་ཇི་སྲིད་འཚོའི་བར་དུ་མིའི་དགའ་བ་དང་,ལྷན་ཅིག་གནས་པར་བགྱི་འཚལ་ལོ།།ཁྱོད་ཀྱིས་ཇི་སྲིད་འཚོའི་བར་དུ་གཞན་གྱིས་བྱིན་པས་འཚོ་བར་བགྱི་འཚལ་ལོ།།ཁྱོད་ཀྱིས་ཇི་སྲིད་འཚོའི་བར་དུ་མིའི་འདོད་པ་དག་ལས་དབེན་པར་བགྱི་འཚལ་ལོ།།ཁྱོད་ཀྱིས་ཇི་སྲིད་འཚོའི་བར་དུ་མིའི་དགའ་བ་དང་།
d-toh1-1-23a-6,urn:nabu:derge-kangyur:toh1-1:23a.6,e9d172d6d2757f45cc7cb2726f5c2ea533f48bd18ac28b851221f126405306da,I1KG9127,45,6,near,1,པ།།པང་ནས་སྐྱེས་ཚུར་ཤོག་བདག་ཅག་ཡང་དག་པ་ཁོ་ནར་དད་པས་ཁྱིམ་ནས་ཁྱིམ་མེད་པར་རབ་ཏུ་འབྱུང་ངོ་།།དེས་སྨྲས་པ།བྲམ་ཟེའི་ཁྱེའུ་ཁྱོད་ཕ་མ་གཉིས་ཀྱིས་གནང་ངམ།གནང་ངོ་།།ཉེ་རྒྱལ་ཁོ་བོ་ནི་དུས་དེ་སྲིད་ཀྱིས་ཕ་མ་གཉིས་ཀྱིས་གནང་ན་ཁྱོད་ཕ་མ་,པ།པང་ནས་སྐྱེས་ཚུར་ཤོག་བདག་ཅག་ཡང་དག་པ་ཁོ་ནར་དད་པས་ཁྱིམ་ནས་ཁྱིམ་མེད་པར་རབ་ཏུ་འབྱུང་ངོ་།།དེས་སྨྲས་པ།བྲམ་ཟེའི་ཁྱེའུ་ཁྱོད་ཕ་མ་གཉིས་ཀྱིས་གནང་ངམ།གནང་ངོ་།།ཉེ་རྒྱལ་ཁོ་བོ་ནི་དུས་དེ་སྲིད་ཀྱིས་ཕ་མ་གཉིས་ཀྱིས་གནང་ན་ཁྱོད་ཕ་མ་
d-toh1-1-30a-2,urn:nabu:derge-kangyur:toh1-1:30a.2,8355426ef357de7327b06f0059556d6b02da478145dcdc918484a57ecd9ae414,I1KG9127,59,2,near,1,གི་ཕྱོགས་བརྒྱན་ཏེ་དུར་ཁྲོད་དུ་བསྐྱལ་ནས་བསྲེགས་ཏེ།དེའི་འོག་ཏུ་མྱ་ངན་བསང་བ་དག་བྱས་ནས་འཁོད་དོ།།གསེར་གླིང་ནས་བྲམ་ཟེའི་ཁྱེའུ་རལ་པ་གསེར་འདྲ་ཞེས་བྱ་བ་ཞིག་མཐར་གྱིས་རྒྱལ་པོའི་ཁབ་ཏུ་ཕྱིན་ནས་དེ་དེ་རྣམས་ཀྱི་འདུག་གནས་སུ་ཞུགས་པ་དང་ཉེ་རྒྱལ་གྱིས་སྨྲས་པ།,གི་ཕྱོགས་བརྒྱན་ཏེ་དུར་ཁྲོད་དུ་བསྐྱལ་ནས་བསྲེགས་ཏེ།དེའི་འོག་ཏུ་མྱ་ངན་བསང་བདག་བྱས་ནས་འཁོད་དོ།།གསེར་གླིང་ནས་བྲམ་ཟེའི་ཁྱེའུ་རལ་པ་གསེར་འདྲ་ཞེས་བྱ་བ་ཞིག་མཐར་གྱིས་རྒྱལ་པོའི་ཁབ་ཏུ་ཕྱིན་ནས་དེ་དེ་རྣམས་ཀྱི་འདུག་གནས་སུ་ཞུགས་པ་དང་ཉེ་རྒྱལ་གྱིས་སྨྲས་པ།
d-toh1-1-31a-3,urn:nabu:derge-kangyur:toh1-1:31a.3,96d74d5add90583dc8e76f88c3593c6eabb5d616101db3dbab4bead6297dc896,I1KG9127,61,3,near,2,པའི་མྱ་ངན་ལས་འདས་པ་ལ་བཀོད་དོ།།ལྟང་བྲང་གི་ཚལ་གསེབ་ཏུ་གཤེགས་ནས་མ་ག་དྷཱའི་རྒྱལ་པོ་བཟོ་སྦྱངས་གཟུགས་ཅན་སྙིང་པོ་ལྷ་བརྒྱད་ཁྲི་དང་མ་ག་དྷཱ་པའི་བྲམ་ཟེ་དང་།ཁྱིམ་བདག་འབུམ་ཕྲག་དུ་མ་དང་ལྷན་ཅིག་བདེན་པ་དག་ལ་བཞག་གོ།།རྒྱལ་,པས་མྱ་ངན་ལས་འདས་པ་ལ་བཀོད་དོ།།ལྟང་བྲང་གི་ཚལ་གསེབ་ཏུ་གཤེགས་ནས་མ་ག་དྷཱའི་རྒྱལ་པོ་བཟོ་སྦྱངས་གཟུགས་ཅན་སྙིང་པོ་ལྷ་བརྒྱད་ཁྲི་དང་མ་ག་དྷཱ་པའི་བྲམ་ཟེ་དང་།ཁྱིམ་བདག་འབུམ་ཕྲག་དུ་མ་དང་ལྷན་ཅིག་བདེན་པ་དག་ལ་བཞག་གོ།།རྒྱལ་
d-toh1-1-31b-5,urn:nabu:derge-kangyur:toh1-1:31b.5,25b8110a58e7bfda671b3cb6b5dca1c01b7e6391e6462e6e714f204ec1f7cc16,I1KG9127,62,5,near,2,པའི་གཞི་ལ་ལེགས་པར་གནས་པ།བསྡུ་བའི་དངོས་པོ་བཞི་ལ་ཡུན་རིང་པོ་ནས་ཡོངས་སུ་སྦྱངས་པ་མཛད་པ།འཕགས་པའི་བདེན་པ་བཞི་སྟོན་པ།མི་འཇིགས་པ་བཞིས་བསྙེངས་པ་མི་མངའ་བ་ཡན་ལག་ལྔ་སྤངས་པ།འགྲོ་བ་ལྔ་ལས་ཡང་དག་པར་,པས་གཞི་ལ་ལེགས་པར་གནས་པ།བསྡུ་བའི་དངོས་པོ་བཞི་ལ་ཡུན་རིང་པོ་ནས་ཡོངས་སུ་སྦྱངས་པ་མཛད་པ།འཕགས་པའི་བདེན་པ་བཞི་སྟོན་པ།མི་འཇིགས་པ་བཞིས་བསྙེངས་པ་མི་མངའ་བ་ཡན་ལག་ལྔ་སྤངས་པ།འགྲོ་བ་ལྔ་ལས་ཡང་དག་པར་
d-toh1-1-32a-1,urn:nabu:derge-kangyur:toh1-1:32a.1,91d7475729a381c8006327468a1884bcf18731a7bfd8431a8c16fc9f64c3b324,I1KG9127,63,1,near,4,པར་འཇུག་པ་དགུ་ལ་མཁས་པ།སྟོབས་བཅུའི་སྟོབས་དང་ལྡན་པ།ཕྱོགས་བཅུར་སྙན་པས་ཡང་དག་པར་རྒྱས་པ།བརྒྱ་ཕྲག་བཅུར་དབང་སྒྱུར་བ་ལས་ཁྱད་པར་དུ་འཕགས་པ་རྣམས་ཀྱི་ཆོས་ཉིད་ནི་ཉིན་ལན་གསུམ་མཚན་ལན་གསུམ་དུ་སངས་རྒྱས་,པར་འཇུག་པ་དགུ་ལ་མཁས་པ།སྟོབས་ི་སྟོབས་དང་ལྡན་པ།ཕྱོགས་བཅུར་སྙན་པས་ཡང་དག་པར་རྒྱས་པ།བརྒྱ་ཕྲག་བཅུར་དབང་སྒྱུར་བ་ལས་ཁྱད་པར་དུ་འཕགས་པ་རྣམས་ཀྱི་ཆོས་ཉིད་ནི་ཉིན་ལན་གསུམ་མཚན་ལན་གསུམ་དུ་སངས་རྒྱས་
