ID,Language_ID,Lemma,Present,Past,Future,Imperative,Analysis_Source,Comment,Source
v-53dc264652fe-GT,xct,ཀེར,ཀེར,ཀེར༼ད༽,ཀེར,ཀེར༼ད༽,GT,,tvd
v-8cda1f66b1d1-TDC,xct,ཀེར,ཀེར,ཀེར,ཀེར,,TDC,,tvd
v-d48c79b67a76-PH,xct,ཀེར,ཀེར,ཀེར,ཀེར,ཀེར,PH,,tvd
v-45ccb108e794-GT,xct,ཀོང,ཀོང,བཀོངས,བཀོང,ཀོངས,GT,,tvd
v-4b69b1c8f18c-KN,xct,ཀྲོང,ཀྲོང,བཀྲོངས,བཀྲོང,ཀྲོངས,KN,,tvd
v-c266c39925e0-GT,xct,ཀླུབ,ཀླུབ,ཀླུབས,ཀླུབ,ཀླུབས,GT,,tvd
v-9cc9074eb3bc-TDC,xct,ཀླུབ,ཀླུབ,བཀླུབས,བཀླུབ,ཀླུབས,TDC,,tvd
v-9cc9074eb3bc-PH,xct,ཀླུབ,ཀླུབ,བཀླུབས,བཀླུབ,ཀླུབས,PH,,tvd
v-9cc9074eb3bc-GT,xct,ཀླུབ,ཀླུབ,བཀླུབས,བཀླུབ,ཀླུབས,GT,,tvd
v-9cc9074eb3bc-KN,xct,ཀླུབ,ཀླུབ,བཀླུབས,བཀླུབ,ཀླུབས,KN,,tvd
v-7bf14ce1bc6d-TDC,xct,ཀློག,ཀློག,བཀླགས,བཀླག,ཀློགས,TDC,,tvd
v-7bf14ce1bc6d-PH,xct,ཀློག,ཀློག,བཀླགས,བཀླག,ཀློགས,PH,,tvd
v-7bf14ce1bc6d-GT,xct,ཀློག,ཀློག,བཀླགས,བཀླག,ཀློགས,GT,,tvd
v-7bf14ce1bc6d-KN,xct,ཀློག,ཀློག,བཀླགས,བཀླག,ཀློགས,KN,,tvd
v-31ed7aed0df7-TDC,xct,དཀའ,དཀའ,དཀའ,དཀའ,,TDC,,tvd
v-31ed7aed0df7-PH,xct,དཀའ,དཀའ,དཀའ,དཀའ,,PH,,tvd
v-90f7f1a80dd7-TDC,xct,དཀུ,དཀུ,དཀུ,དཀུ,,TDC,,tvd
v-90f7f1a80dd7-PH,xct,དཀུ,དཀུ,དཀུ,དཀུ,,PH,,tvd
v-43edc2bfafe6-TDC,xct,དཀྱུ,དཀྱུ,དཀྱུས,དཀྱུ,དཀྱུས,TDC,,tvd
v-43edc2bfafe6-PH,xct,དཀྱུ,དཀྱུ,དཀྱུས,དཀྱུ,དཀྱུས,PH,,tvd
v-43edc2bfafe6-GT,xct,དཀྱུ,དཀྱུ,དཀྱུས,དཀྱུ,དཀྱུས,GT,,tvd
v-a5682900b54c-KN,xct,དཀྱུ,དཀྱུ,དཀྱུས,དཀྱུ,བཀྱུས,KN,,tvd
v-7d04d0176aa4-TDC,xct,དཀྲི,དཀྲི,དཀྲིས,དཀྲི,དཀྲིས,TDC,,tvd
v-7d04d0176aa4-PH,xct,དཀྲི,དཀྲི,དཀྲིས,དཀྲི,དཀྲིས,PH,,tvd
v-7d04d0176aa4-GT,xct,དཀྲི,དཀྲི,དཀྲིས,དཀྲི,དཀྲིས,GT,,tvd
v-7d04d0176aa4-KN,xct,དཀྲི,དཀྲི,དཀྲིས,དཀྲི,དཀྲིས,KN,,tvd
v-535bc0c3a277-TDC,xct,དཀྲིག,དཀྲིག,དཀྲིགས,དཀྲིག,དཀྲིགས,TDC,,tvd
v-535bc0c3a277-PH,xct,དཀྲིག,དཀྲིག,དཀྲིགས,དཀྲིག,དཀྲིགས,PH,,tvd
v-535bc0c3a277-GT,xct,དཀྲིག,དཀྲིག,དཀྲིགས,དཀྲིག,དཀྲིགས,GT,,tvd
v-535bc0c3a277-KN,xct,དཀྲིག,དཀྲིག,དཀྲིགས,དཀྲིག,དཀྲིགས,KN,,tvd
v-998af284ba23-TDC,xct,དཀྲུག,དཀྲུག,དཀྲུགས,དཀྲུག,དཀྲུགས,TDC,,tvd
v-998af284ba23-PH,xct,དཀྲུག,དཀྲུག,དཀྲུགས,དཀྲུག,དཀྲུགས,PH,,tvd
v-998af284ba23-GT,xct,དཀྲུག,དཀྲུག,དཀྲུགས,དཀྲུག,དཀྲུགས,GT,,tvd
v-998af284ba23-KN,xct,དཀྲུག,དཀྲུག,དཀྲུགས,དཀྲུག,དཀྲུགས,KN,,tvd
v-3c6cf45cfaca-TDC,xct,དཀྲུམ,དཀྲུམ,དཀྲུམས,དཀྲུམ,དཀྲུམས,TDC,,tvd
v-3c6cf45cfaca-PH,xct,དཀྲུམ,དཀྲུམ,དཀྲུམས,དཀྲུམ,དཀྲུམས,PH,,tvd
v-3c6cf45cfaca-GT,xct,དཀྲུམ,དཀྲུམ,དཀྲུམས,དཀྲུམ,དཀྲུམས,GT,,tvd
v-455fca5b5533-TDC,xct,དཀྲོག,དཀྲོག,དཀྲོགས,དཀྲོག,དཀྲོགས,TDC,,tvd
v-455fca5b5533-PH,xct,དཀྲོག,དཀྲོག,དཀྲོགས,དཀྲོག,དཀྲོགས,PH,,tvd
v-455fca5b5533-GT,xct,དཀྲོག,དཀྲོག,དཀྲོགས,དཀྲོག,དཀྲོགས,GT,,tvd
v-455fca5b5533-KN,xct,དཀྲོག,དཀྲོག,དཀྲོགས,དཀྲོག,དཀྲོགས,KN,,tvd
v-5c11bfa03beb-GT,xct,དཀྲོལ,དཀྲོལ,དཀྲོལ༼ད༽,དཀྲོལ,དཀྲོལ༼ད༽,GT,,tvd
v-c0715d80a084-TDC,xct,དཀྲོལ,དཀྲོལ,དཀྲོལ,དཀྲོལ,དཀྲོལ,TDC,,tvd
v-c0715d80a084-PH,xct,དཀྲོལ,དཀྲོལ,དཀྲོལ,དཀྲོལ,དཀྲོལ,PH,,tvd
v-c0715d80a084-KN,xct,དཀྲོལ,དཀྲོལ,དཀྲོལ,དཀྲོལ,དཀྲོལ,KN,,tvd
v-13670fb9430b-GT,xct,དཀྲོས,དཀྲོས,བཀྲོས,བཀྲོས,དཀྲོས,GT,,tvd
v-66deb6faaba2-GT,xct,བཀན,བཀན,བཀན༼ད༽,བཀན,བཀན༼ད༽,GT,,tvd
v-7d3a7122f2a5-TDC,xct,བཀན,བཀན,བཀན,བཀན,བཀན,TDC,,tvd
v-7d3a7122f2a5-PH,xct,བཀན,བཀན,བཀན,བཀན,བཀན,PH,,tvd
v-7d3a7122f2a5-KN,xct,བཀན,བཀན,བཀན,བཀན,བཀན,KN,,tvd
v-07951cba6d35-TDC,xct,བཀུ,བཀུ,བཀུས,བཀུ,བཀུས,TDC,,tvd
v-07951cba6d35-PH,xct,བཀུ,བཀུ,བཀུས,བཀུ,བཀུས,PH,,tvd
v-07951cba6d35-KN,xct,བཀུ,བཀུ,བཀུས,བཀུ,བཀུས,KN,,tvd
v-82c440eb69e0-TDC,xct,བཀུར,བཀུར,བཀུར,བཀུར,བཀུར,TDC,,tvd
v-82c440eb69e0-PH,xct,བཀུར,བཀུར,བཀུར,བཀུར,བཀུར,PH,,tvd
v-82c440eb69e0-KN,xct,བཀུར,བཀུར,བཀུར,བཀུར,བཀུར,KN,,tvd
v-5bc6805d1832-TDC,xct,བཀོང,བཀོང,བཀོང,བཀོང,བཀོང,TDC,,tvd
v-5bc6805d1832-PH,xct,བཀོང,བཀོང,བཀོང,བཀོང,བཀོང,PH,,tvd
v-5b007505af6e-KN,xct,བཀོང,བཀོང,བཀོངས,བཀོང,བཀོང,KN,,tvd
v-bd3b013c2a94-KN,xct,བཀོན,བཀོན,བཀོན,བཀོན,བཀོན,KN,,tvd
v-385dd021f60f-KN,xct,བཀོལ,བཀོལ,བཀོལ,བཀོལ,བཀོལ,KN,,tvd
v-190fc8d0fbb3-TDC,xct,བཀོལ,བཀོལ,བཀོལ,བཀོལ,ཁོལ,TDC,,tvd
v-190fc8d0fbb3-PH,xct,བཀོལ,བཀོལ,བཀོལ,བཀོལ,ཁོལ,PH,,tvd
v-f44b0ea07d54-GT,xct,བཀྱོན,བཀྱོན,བཀྱོན༼ད༽,བཀྱོན,བཀྱོན༼ད༽,GT,,tvd
v-ced2da988860-TDC,xct,བཀྱོན,བཀྱོན,བཀྱོན,བཀྱོན,བཀྱོན,TDC,,tvd
v-ced2da988860-PH,xct,བཀྱོན,བཀྱོན,བཀྱོན,བཀྱོན,བཀྱོན,PH,,tvd
v-ced2da988860-KN,xct,བཀྱོན,བཀྱོན,བཀྱོན,བཀྱོན,བཀྱོན,KN,,tvd
v-303131503f67-TDC,xct,བཀྲབ,བཀྲབ,བཀྲབས,བཀྲབ,བཀྲོབས,TDC,,tvd
v-303131503f67-PH,xct,བཀྲབ,བཀྲབ,བཀྲབས,བཀྲབ,བཀྲོབས,PH,,tvd
v-303131503f67-KN,xct,བཀྲབ,བཀྲབ,བཀྲབས,བཀྲབ,བཀྲོབས,KN,,tvd
v-c6eaff77e09e-TDC,xct,བཀྲམ,བཀྲམ,བཀྲམས,བཀྲམ,,TDC,,tvd
v-411952d56b9c-TDC,xct,བཀྲལ,བཀྲལ,བཀྲལ,བཀྲལ,བཀྲོལ,TDC,,tvd
v-411952d56b9c-PH,xct,བཀྲལ,བཀྲལ,བཀྲལ,བཀྲལ,བཀྲོལ,PH,,tvd
v-1ca4876a7454-TDC,xct,བཀྲི,བཀྲི,བཀྲིས,བཀྲི,བཀྲིས,TDC,,tvd
v-1ca4876a7454-PH,xct,བཀྲི,བཀྲི,བཀྲིས,བཀྲི,བཀྲིས,PH,,tvd
v-1ca4876a7454-KN,xct,བཀྲི,བཀྲི,བཀྲིས,བཀྲི,བཀྲིས,KN,,tvd
v-ab16f71ac2b4-TDC,xct,བཀྲེས,བཀྲེས,བཀྲེས,བཀྲེས,,TDC,,tvd
v-ab16f71ac2b4-PH,xct,བཀྲེས,བཀྲེས,བཀྲེས,བཀྲེས,,PH,,tvd
v-3c02a9a5e27d-GT,xct,བཀྲེས,བཀྲེས,བཀྲེས,བཀྲེས,བཀྲེས,GT,,tvd
v-b6b34ebdcaac-PH,xct,རྐམ,རྐམ,བརྐམ,བརྐམ,,PH,,tvd
v-4ee4f33ea50c-GT,xct,རྐམ,རྐམ,བརྐམས,བརྐམ,རྐམས,GT,,tvd
v-088a990b8056-TDC,xct,རྐུ,རྐུ,བརྐུས,བརྐུ,རྐུས,TDC,,tvd
