ID,Tibetan,EWTS,Kind,Codepoints,Comment
consonant-0f40,ཀ,k,consonant,U+0F40,
consonant-0f41,ཁ,kh,consonant,U+0F41,
consonant-0f42,ག,g,consonant,U+0F42,
consonant-0f44,ང,ng,consonant,U+0F44,
consonant-0f45,ཅ,c,consonant,U+0F45,
consonant-0f46,ཆ,ch,consonant,U+0F46,
consonant-0f47,ཇ,j,consonant,U+0F47,
consonant-0f49,ཉ,ny,consonant,U+0F49,
consonant-0f4a,ཊ,T,consonant,U+0F4A,retroflex loan letter (Sanskrit ṭa)
consonant-0f4b,ཋ,Th,consonant,U+0F4B,retroflex loan letter (Sanskrit ṭha)
consonant-0f4c,ཌ,D,consonant,U+0F4C,retroflex loan letter (Sanskrit ḍa)
consonant-0f4e,ཎ,N,consonant,U+0F4E,retroflex loan letter (Sanskrit ṇa)
consonant-0f4f,ཏ,t,consonant,U+0F4F,
consonant-0f50,ཐ,th,consonant,U+0F50,
consonant-0f51,ད,d,consonant,U+0F51,
consonant-0f53,ན,n,consonant,U+0F53,
consonant-0f54,པ,p,consonant,U+0F54,
consonant-0f55,ཕ,ph,consonant,U+0F55,
consonant-0f56,བ,b,consonant,U+0F56,
consonant-0f58,མ,m,consonant,U+0F58,
consonant-0f59,ཙ,ts,consonant,U+0F59,
consonant-0f5a,ཚ,tsh,consonant,U+0F5A,
consonant-0f5b,ཛ,dz,consonant,U+0F5B,
consonant-0f5d,ཝ,w,consonant,U+0F5D,
consonant-0f5e,ཞ,zh,consonant,U+0F5E,
consonant-0f5f,ཟ,z,consonant,U+0F5F,
consonant-0f60,འ,',consonant,U+0F60,a-chung: consonant slot; as syllable coda it is the ' suffix (dga' vs dag disambiguator)
consonant-0f61,ཡ,y,consonant,U+0F61,
consonant-0f62,ར,r,consonant,U+0F62,
consonant-0f63,ལ,l,consonant,U+0F63,
consonant-0f64,ཤ,sh,consonant,U+0F64,
consonant-0f65,ཥ,Sh,consonant,U+0F65,retroflex loan letter (Sanskrit ṣa)
consonant-0f66,ས,s,consonant,U+0F66,
consonant-0f67,ཧ,h,consonant,U+0F67,
consonant-0f68,ཨ,a,consonant,U+0F68,"a-chen, the vowel carrier: bare = a; with a vowel sign the sign's value alone (never *ao)"
subjoined-0f90,ྐ,k,subjoined,U+0F90,
subjoined-0f91,ྑ,kh,subjoined,U+0F91,
subjoined-0f92,ྒ,g,subjoined,U+0F92,
subjoined-0f94,ྔ,ng,subjoined,U+0F94,
subjoined-0f95,ྕ,c,subjoined,U+0F95,
subjoined-0f96,ྖ,ch,subjoined,U+0F96,
subjoined-0f97,ྗ,j,subjoined,U+0F97,
subjoined-0f99,ྙ,ny,subjoined,U+0F99,
subjoined-0f9a,ྚ,T,subjoined,U+0F9A,
subjoined-0f9b,ྛ,Th,subjoined,U+0F9B,
subjoined-0f9c,ྜ,D,subjoined,U+0F9C,
subjoined-0f9e,ྞ,N,subjoined,U+0F9E,
subjoined-0f9f,ྟ,t,subjoined,U+0F9F,
subjoined-0fa0,ྠ,th,subjoined,U+0FA0,
subjoined-0fa1,ྡ,d,subjoined,U+0FA1,
subjoined-0fa3,ྣ,n,subjoined,U+0FA3,
subjoined-0fa4,ྤ,p,subjoined,U+0FA4,
