ID,Variant,Traditional,Variant_Codepoint,Traditional_Codepoint,Source
U-3437,㐷,傌,U+3437,U+508C,unihan
U-3439,㐹,㑶,U+3439,U+3476,unihan
U-343D,㐽,偑,U+343D,U+5051,unihan
U-3447,㑇,㑳,U+3447,U+3473,unihan
U-3448,㑈,倲,U+3448,U+5032,unihan
U-3454,㑔,㑯,U+3454,U+346F,unihan
U-3469,㑩,儸,U+3469,U+5138,unihan
U-347A,㑺,儁,U+347A,U+5101,unihan
U-34E5,㓥,劏,U+34E5,U+528F,unihan
U-3509,㔉,劚,U+3509,U+529A,unihan
U-358A,㖊,噚,U+358A,U+565A,unihan
U-359E,㖞,喎,U+359E,U+558E,unihan
U-360E,㘎,㘚,U+360E,U+361A,unihan
U-36AF,㚯,㜄,U+36AF,U+3704,unihan
U-36C0,㛀,媰,U+36C0,U+5AB0,unihan
U-36DF,㛟,𡞵,U+36DF,U+217B5,unihan
U-36E0,㛠,𡢃,U+36E0,U+21883,unihan
U-36E3,㛣,㜏,U+36E3,U+370F,unihan
U-36E4,㛤,孋,U+36E4,U+5B4B,unihan
U-36FF,㛿,𡠹,U+36FF,U+21839,unihan
U-3766,㝦,寯,U+3766,U+5BEF,unihan
U-37C6,㟆,㠏,U+37C6,U+380F,unihan
U-37DC,㟜,𡾱,U+37DC,U+21FB1,unihan
U-37E5,㟥,嵾,U+37E5,U+5D7E,unihan
U-384E,㡎,幓,U+384E,U+5E53,unihan
U-3916,㤖,懧,U+3916,U+61E7,unihan
U-3918,㤘,㥮,U+3918,U+396E,unihan
U-392D,㤭,憍,U+392D,U+618D,unihan
U-393D,㤽,懤,U+393D,U+61E4,unihan
U-396A,㥪,慺,U+396A,U+617A,unihan
U-3988,㦈,𢣏,U+3988,U+228CF,unihan
U-39B3,㦳,㘽,U+39B3,U+363D,unihan
U-39CF,㧏,掆,U+39CF,U+6386,unihan
U-39D0,㧐,㩳,U+39D0,U+3A73,unihan
U-39D1,㧑,撝,U+39D1,U+649D,unihan
U-39DB,㧛,擥,U+39DB,U+64E5,unihan
U-39DF,㧟,擓,U+39DF,U+64D3,unihan
U-39F0,㧰,擽,U+39F0,U+64FD,unihan
U-3A2B,㨫,㩜,U+3A2B,U+3A5C,unihan
U-3B4E,㭎,棡,U+3B4E,U+68E1,unihan
U-3B4F,㭏,椲,U+3B4F,U+6932,unihan
U-3B63,㭣,𣙎,U+3B63,U+2364E,unihan
U-3B64,㭤,樢,U+3B64,U+6A22,unihan
U-3B74,㭴,樫,U+3B74,U+6A2B,unihan
U-3BA0,㮠,𣞁,U+3BA0,U+23781,unihan
U-3C69,㱩,殰,U+3C69,U+6BB0,unihan
U-3C6E,㱮,殨,U+3C6E,U+6BA8,unihan
U-3CBF,㲿,瀇,U+3CBF,U+7007,unihan
U-3CD4,㳔,濧,U+3CD4,U+6FE7,unihan
U-3CD5,㳕,灡,U+3CD5,U+7061,unihan
U-3CE0,㳠,澾,U+3CE0,U+6FBE,unihan
U-3CE1,㳡,濄,U+3CE1,U+6FC4,unihan
U-3CE2,㳢,𣾷,U+3CE2,U+23FB7,unihan
U-3D0B,㴋,潚,U+3D0B,U+6F5A,unihan
U-3D89,㶉,鸂,U+3D89,U+9E02,unihan
U-3DB6,㶶,燶,U+3DB6,U+71F6,unihan
U-3DBD,㶽,煱,U+3DBD,U+7171,unihan
U-3DEA,㷪,𤎱,U+3DEA,U+243B1,unihan
U-3E8D,㺍,獱,U+3E8D,U+7371,unihan
U-3EC5,㻅,璯,U+3EC5,U+74AF,unihan
U-3ECF,㻏,𤫩,U+3ECF,U+24AE9,unihan
U-3ED8,㻘,𤪺,U+3ED8,U+24ABA,unihan
U-3EEA,㻪,㻽,U+3EEA,U+3EFD,unihan
U-3FA1,㾡,𤷽,U+3FA1,U+24DFD,unihan
U-4025,䀥,䁻,U+4025,U+407B,unihan
U-4056,䁖,瞜,U+4056,U+779C,unihan
U-40B5,䂵,碽,U+40B5,U+78BD,unihan
U-40C5,䃅,磾,U+40C5,U+78FE,unihan
U-4149,䅉,稏,U+4149,U+7A0F,unihan
U-415F,䅟,穇,U+415F,U+7A47,unihan
U-416A,䅪,𥢢,U+416A,U+258A2,unihan
U-41DA,䇚,𥵜,U+41DA,U+25D5C,unihan
U-41F2,䇲,筴,U+41F2,U+7B74,unihan
U-4264,䉤,籔,U+4264,U+7C54,unihan
U-4336,䌶,䊷,U+4336,U+42B7,unihan
U-4337,䌷,紬,U+4337,U+7D2C,unihan
U-4338,䌸,縳,U+4338,U+7E33,unihan
U-4339,䌹,絅,U+4339,U+7D45,unihan
U-433A,䌺,䋙,U+433A,U+42D9,unihan
U-433B,䌻,䋚,U+433B,U+42DA,unihan
U-433C,䌼,綐,U+433C,U+7D90,unihan
U-433D,䌽,綵,U+433D,U+7DB5,unihan
U-433E,䌾,䋻,U+433E,U+42FB,unihan
U-433F,䌿,䋹,U+433F,U+42F9,unihan
U-4340,䍀,繿,U+4340,U+7E7F,unihan
U-4341,䍁,繸,U+4341,U+7E78,unihan
U-439B,䎛,㖈,U+439B,U+3588,unihan
U-43AC,䎬,䎱,U+43AC,U+43B1,unihan
U-43DD,䏝,膞,U+43DD,U+819E,unihan
U-442A,䐪,臇,U+442A,U+81C7,unihan
U-44BF,䒿,膋,U+44BF,U+818B,unihan
U-44D3,䓓,薵,U+44D3,U+85B5,unihan
U-44D5,䓕,薳,U+44D5,U+85B3,unihan
U-44D6,䓖,藭,U+44D6,U+85ED,unihan
U-44E8,䓨,罃,U+44E8,U+7F43,unihan
U-45BC,䖼,𧍕,U+45BC,U+27355,unihan
U-45D6,䗖,螮,U+45D6,U+87AE,unihan
U-461B,䘛,𧝞,U+461B,U+2775E,unihan
U-461E,䘞,𧜗,U+461E,U+27717,unihan
U-464A,䙊,𧜵,U+464A,U+27735,unihan
U-464C,䙌,䙡,U+464C,U+4661,unihan
U-4653,䙓,襬,U+4653,U+896C,unihan
U-46D3,䛓,譼,U+46D3,U+8B7C,unihan
U-4723,䜣,訢,U+4723,U+8A22,unihan
U-4724,䜤,鿁,U+4724,U+9FC1,unihan
U-4725,䜥,𧩙,U+4725,U+27A59,unihan
U-4727,䜧,䜀,U+4727,U+4700,unihan
U-4729,䜩,讌,U+4729,U+8B8C,unihan
U-4759,䝙,貙,U+4759,U+8C99,unihan
U-478C,䞌,𧵳,U+478C,U+27D73,unihan
U-478D,䞍,䝼,U+478D,U+477C,unihan
U-478E,䞎,𧶧,U+478E,U+27DA7,unihan
U-4790,䞐,賰,U+4790,U+8CF0,unihan
U-47E2,䟢,躎,U+47E2,U+8E8E,unihan
U-4880,䢀,𨊰,U+4880,U+282B0,unihan
U-4881,䢁,𨊸,U+4881,U+282B8,unihan
U-4882,䢂,𨋢,U+4882,U+282E2,unihan
U-497A,䥺,釾,U+497A,U+91FE,unihan
U-497D,䥽,鏺,U+497D,U+93FA,unihan
U-497E,䥾,䥱,U+497E,U+4971,unihan
U-497F,䥿,𨯅,U+497F,U+28BC5,unihan
U-4980,䦀,𨦫,U+4980,U+289AB,unihan
U-4981,䦁,𨧜,U+4981,U+289DC,unihan
U-4982,䦂,䥇,U+4982,U+4947,unihan
U-4983,䦃,鐯,U+4983,U+942F,unihan
U-4985,䦅,鐥,U+4985,U+9425,unihan
U-4986,䦆,钁,U+4986,U+9481,unihan
U-49B6,䦶,䦛,U+49B6,U+499B,unihan
U-49B7,䦷,䦟,U+49B7,U+499F,unihan
U-4A44,䩄,靦,U+4A44,U+9766,unihan
U-4B6A,䭪,𩞯,U+4B6A,U+297AF,unihan
U-4BC3,䯃,𩣑,U+4BC3,U+298D1,unihan
U-4BC4,䯄,騧,U+4BC4,U+9A27,unihan
U-4BC5,䯅,䯀,U+4BC5,U+4BC0,unihan
U-4C4E,䱎,䱍,U+4C4E,U+4C4D,unihan
U-4C9D,䲝,䱽,U+4C9D,U+4C7D,unihan
U-4C9E,䲞,𩶘,U+4C9E,U+29D98,unihan
U-4C9F,䲟,鮣,U+4C9F,U+9BA3,unihan
U-4CA0,䲠,鰆,U+4CA0,U+9C06,unihan
U-4CA1,䲡,鰌,U+4CA1,U+9C0C,unihan
U-4CA2,䲢,鰧,U+4CA2,U+9C27,unihan
U-4CA3,䲣,䱷,U+4CA3,U+4C77,unihan
U-4CA4,䲤,鿐,U+4CA4,U+9FD0,unihan
U-4D13,䴓,鳾,U+4D13,U+9CFE,unihan
U-4D14,䴔,鵁,U+4D14,U+9D41,unihan
U-4D15,䴕,鴷,U+4D15,U+9D37,unihan
U-4D16,䴖,鶄,U+4D16,U+9D84,unihan
U-4D17,䴗,鶪,U+4D17,U+9DAA,unihan
U-4D19,䴙,鸊,U+4D19,U+9E0A,unihan
U-4DAE,䶮,龑,U+4DAE,U+9F91,unihan
U-4E0E,与,與,U+4E0E,U+8207,unihan
U-4E13,专,專,U+4E13,U+5C08,unihan
U-4E1A,业,業,U+4E1A,U+696D,unihan
U-4E1B,丛,叢,U+4E1B,U+53E2,unihan
U-4E1C,东,東,U+4E1C,U+6771,unihan
U-4E1D,丝,絲,U+4E1D,U+7D72,unihan
U-4E25,严,嚴,U+4E25,U+56B4,unihan
U-4E27,丧,喪,U+4E27,U+55AA,unihan
U-4E34,临,臨,U+4E34,U+81E8,unihan
U-4E3D,丽,麗,U+4E3D,U+9E97,unihan
U-4E3E,举,舉,U+4E3E,U+8209,unihan
U-4E4C,乌,烏,U+4E4C,U+70CF,unihan
U-4E60,习,習,U+4E60,U+7FD2,unihan
U-4E61,乡,郷,U+4E61,U+90F7,unihan
U-4E66,书,書,U+4E66,U+66F8,unihan
U-4E70,买,買,U+4E70,U+8CB7,unihan
U-4E9A,亚,亞,U+4E9A,U+4E9E,unihan
U-4EA9,亩,畝,U+4EA9,U+755D,unihan
U-4EB2,亲,親,U+4EB2,U+89AA,unihan
U-4EB5,亵,褻,U+4EB5,U+893B,unihan
U-4EB8,亸,嚲,U+4EB8,U+56B2,unihan
U-4EBF,亿,億,U+4EBF,U+5104,unihan
U-4ED1,仑,侖,U+4ED1,U+4F96,unihan
U-4ED3,仓,倉,U+4ED3,U+5009,unihan
U-4EEC,们,們,U+4EEC,U+5011,unihan
U-4F1B,伛,傴,U+4F1B,U+50B4,unihan
U-4F1E,伞,傘,U+4F1E,U+5098,unihan
U-4F1F,伟,偉,U+4F1F,U+5049,unihan
U-4F20,传,傳,U+4F20,U+50B3,unihan
U-4F21,伡,俥,U+4F21,U+4FE5,unihan
U-4F23,伣,俔,U+4F23,U+4FD4,unihan
U-4F25,伥,倀,U+4F25,U+5000,unihan
U-4F26,伦,倫,U+4F26,U+502B,unihan
U-4F27,伧,傖,U+4F27,U+5096,unihan
U-4F2B,伫,佇,U+4F2B,U+4F47,unihan
U-4F65,佥,僉,U+4F65,U+50C9,unihan
U-4FA3,侣,侶,U+4FA3,U+4FB6,unihan
U-4FA5,侥,僥,U+4FA5,U+50E5,unihan
U-4FA6,侦,偵,U+4FA6,U+5075,unihan
U-4FA7,侧,側,U+4FA7,U+5074,unihan
U-4FA8,侨,僑,U+4FA8,U+50D1,unihan
U-4FAA,侪,儕,U+4FAA,U+5115,unihan
U-4FAC,侬,儂,U+4FAC,U+5102,unihan
U-4FE3,俣,俁,U+4FE3,U+4FC1,unihan
U-4FE8,俨,儼,U+4FE8,U+513C,unihan
U-4FE9,俩,倆,U+4FE9,U+5006,unihan
U-4FEA,俪,儷,U+4FEA,U+5137,unihan
U-4FEB,俫,倈,U+4FEB,U+5008,unihan
U-4FED,俭,儉,U+4FED,U+5109,unihan
U-5002,倂,併,U+5002,U+4F75,unihan
U-503A,债,債,U+503A,U+50B5,unihan
U-503C,值,値,U+503C,U+5024,unihan
U-503E,倾,傾,U+503E,U+50BE,unihan
U-507E,偾,僨,U+507E,U+50E8,unihan
U-507F,偿,償,U+507F,U+511F,unihan
U-50A5,傥,儻,U+50A5,U+513B,unihan
U-50A7,傧,儐,U+50A7,U+5110,unihan
U-50A8,储,儲,U+50A8,U+5132,unihan
U-50A9,傩,儺,U+50A9,U+513A,unihan
U-5156,兖,兗,U+5156,U+5157,unihan
U-5170,兰,蘭,U+5170,U+862D,unihan
U-5173,关,關,U+5173,U+95DC,unihan
U-5174,兴,興,U+5174,U+8208,unihan
U-5179,兹,茲,U+5179,U+8332,unihan
U-517B,养,養,U+517B,U+990A,unihan
U-517D,兽,獸,U+517D,U+7378,unihan
U-5181,冁,囅,U+5181,U+56C5,unihan
U-5188,冈,岡,U+5188,U+5CA1,unihan
U-5199,写,寫,U+5199,U+5BEB,unihan
U-519B,军,軍,U+519B,U+8ECD,unihan
U-519C,农,農,U+519C,U+8FB2,unihan
U-51AF,冯,馮,U+51AF,U+99AE,unihan
U-51B3,决,決,U+51B3,U+6C7A,unihan
U-51BB,冻,凍,U+51BB,U+51CD,unihan
U-51C0,净,凈,U+51C0,U+51C8,unihan
U-51DB,凛,凜,U+51DB,U+51DC,unihan
U-51EF,凯,凱,U+51EF,U+51F1,unihan
U-51FB,击,擊,U+51FB,U+64CA,unihan
U-51FF,凿,鑿,U+51FF,U+947F,unihan
U-520D,刍,芻,U+520D,U+82BB,unihan
U-5219,则,則,U+5219,U+5247,unihan
U-521A,刚,剛,U+521A,U+525B,unihan
U-521B,创,創,U+521B,U+5275,unihan
U-522C,刬,剗,U+522C,U+5257,unihan
U-522D,刭,剄,U+522D,U+5244,unihan
U-523D,刽,劊,U+523D,U+528A,unihan
U-523F,刿,劌,U+523F,U+528C,unihan
U-5240,剀,剴,U+5240,U+5274,unihan
U-5242,剂,劑,U+5242,U+5291,unihan
U-5250,剐,剮,U+5250,U+526E,unihan
U-5251,剑,劍,U+5251,U+528D,unihan
U-5265,剥,剝,U+5265,U+525D,unihan
U-52A1,务,務,U+52A1,U+52D9,unihan
U-52A2,劢,勱,U+52A2,U+52F1,unihan
U-52B2,劲,勁,U+52B2,U+52C1,unihan
U-52CB,勋,勛,U+52CB,U+52DB,unihan
U-52DA,勚,勩,U+52DA,U+52E9,unihan
U-5326,匦,匭,U+5326,U+532D,unihan
