ID,Form,Reason,Source
self-listing-U-3CFD,㳽,self-listing,unihan
self-listing-U-4E07,万,self-listing,unihan
self-listing-U-4E11,丑,self-listing,unihan
self-listing-U-4E22,丢,self-listing,unihan
self-listing-U-4E24,两,self-listing,unihan
self-listing-U-4E2A,个,self-listing,unihan
self-listing-U-4E30,丰,self-listing,unihan
self-listing-U-4E48,么,self-listing,unihan
self-listing-U-4E49,义,self-listing,unihan
self-listing-U-4E50,乐,self-listing,unihan
self-listing-U-4E54,乔,self-listing,unihan
self-listing-U-4E71,乱,self-listing,unihan
self-listing-U-4E86,了,self-listing,unihan
self-listing-U-4E89,争,self-listing,unihan
self-listing-U-4E8E,于,self-listing,unihan
self-listing-U-4E8F,亏,self-listing,unihan
self-listing-U-4E91,云,self-listing,unihan
self-listing-U-4EC5,仅,self-listing,unihan
self-listing-U-4EC6,仆,self-listing,unihan
self-listing-U-4ECE,从,self-listing,unihan
self-listing-U-4EEA,仪,self-listing,unihan
self-listing-U-4EF7,价,self-listing,unihan
self-listing-U-4F17,众,self-listing,unihan
self-listing-U-4F18,优,self-listing,unihan
self-listing-U-4F19,伙,self-listing,unihan
self-listing-U-4F1A,会,self-listing,unihan
self-listing-U-4F24,伤,self-listing,unihan
self-listing-U-4F53,体,self-listing,unihan
self-listing-U-4F59,余,self-listing,unihan
self-listing-U-4F63,佣,self-listing,unihan
self-listing-U-4FA0,侠,self-listing,unihan
self-listing-U-4FA9,侩,self-listing,unihan
self-listing-U-4FE6,俦,self-listing,unihan
self-listing-U-501F,借,self-listing,unihan
self-listing-U-506C,偬,self-listing,unihan
self-listing-U-507B,偻,self-listing,unihan
self-listing-U-513F,儿,self-listing,unihan
self-listing-U-514B,克,self-listing,unihan
self-listing-U-5151,兑,self-listing,unihan
self-listing-U-515A,党,self-listing,unihan
self-listing-U-5185,内,self-listing,unihan
self-listing-U-518C,册,self-listing,unihan
self-listing-U-51AC,冬,self-listing,unihan
self-listing-U-51B2,冲,self-listing,unihan
self-listing-U-51B5,况,self-listing,unihan
self-listing-U-51C6,准,self-listing,unihan
self-listing-U-51C9,凉,self-listing,unihan
self-listing-U-51CF,减,self-listing,unihan
self-listing-U-51D1,凑,self-listing,unihan
self-listing-U-51E0,几,self-listing,unihan
self-listing-U-51E4,凤,self-listing,unihan
self-listing-U-51ED,凭,self-listing,unihan
self-listing-U-51FA,出,self-listing,unihan
self-listing-U-5212,划,self-listing,unihan
self-listing-U-5218,刘,self-listing,unihan
self-listing-U-5220,删,self-listing,unihan
self-listing-U-522B,别,self-listing,unihan
self-listing-U-522E,刮,self-listing,unihan
self-listing-U-5236,制,self-listing,unihan
self-listing-U-5239,刹,self-listing,unihan
self-listing-U-523E,刾,self-listing,unihan
self-listing-U-5267,剧,self-listing,unihan
self-listing-U-529D,劝,self-listing,unihan
self-listing-U-529E,办,self-listing,unihan
self-listing-U-52A8,动,self-listing,unihan
self-listing-U-52B1,励,self-listing,unihan
self-listing-U-52B3,劳,self-listing,unihan
self-listing-U-52BF,势,self-listing,unihan
self-listing-U-5300,匀,self-listing,unihan
